Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
0,-0.709686738,-0.747042644,0.797651909,0.02445008,-0.135731377,5.44820968,-1.036921488,-0.436354828,-0.243394828,-1.057445741
0,-0.322495244,0.875619779,0.575197925,-0.820784082,0.71692485,0.08329564,0.509134395,-0.229692456,0.429916878,-0.254749158
1,0.118644114,-0.499405371,1.269488326,-1.20321233,1.231326039,-0.420892962,0.386811403,-1.078473595,0.805363613,-0.379334712
0,-0.641098652,-0.99604856,-0.212860469,-0.040436747,1.386003797,-0.388222141,0.002899207,-0.754000461,0.782588654,0.617185278
1,1.833734765,2.257841353,-0.62503208,2.43021851,-0.701465556,-0.583069254,-1.308716712,0.734177769,0.442447993,1.469291229
1,2.103945521,1.171096215,0.313970658,1.557850098,-0.250149991,-0.643421411,-0.875344233,0.604999467,-0.684201059,-1.240514255
0,-0.774493599,-0.628392738,0.201531072,-0.375920511,1.418595571,-0.421474639,1.464387037,-0.040706949,1.576201505,1.096624018
0,-0.60821114,-0.462820842,1.315647498,1.364493635,-0.48779443,-0.676563535,-1.06123214,-0.830159122,-0.205361341,1.225285216
1,1.384927692,0.894571921,-0.527990457,2.028237264,1.098467151,-0.477221412,-1.828979713,0.524729656,-0.25739425,1.142078543
0,-1.106662001,-0.32070994,0.234687174,-0.75801563,0.504399623,2.745610439,1.156216808,-0.040861123,0.49440114,0.156100689
0,-1.148376465,-0.663794249,0.740915734,-0.717438324,-0.826578482,0.809819882,-0.192711976,-1.288582038,-1.248384084,-1.450912118
1,-0.060696763,1.81095358,-1.061504118,0.224476087,-0.093105508,-0.0200943,-2.339857493,0.60754178,-0.985299918,0.793244702
0,-0.265322349,-0.590430633,-0.978607531,-0.617803701,1.430891498,-0.063268165,-0.193693099,0.364811447,-0.467078854,0.200016284
1,-0.944723932,-0.407308769,0.492843511,-0.539263194,0.497039052,0.056989809,1.22623088,-0.722081374,2.2090551,-0.072582097
0,-1.013053667,-0.494134706,0.548693239,-0.388524624,0.09199,-0.243905382,0.005482619,-0.83230264,0.438206821,-1.62059308
0,-0.691022046,-0.381614609,-1.030213254,0.649535272,-1.410537624,-0.10361245,0.954331702,1.449000365,-0.268205226,-0.352907645
1,-0.543617861,-0.628392738,2.247791773,-0.993814511,1.575992879,-0.266269055,-0.113968382,-1.435955723,0.593158775,0.122991331
1,1.386287286,4.500187327,-0.414670117,3.712386226,-0.300919684,-0.367149499,-1.100980475,0.080171279,-0.163341344,1.206909744
0,-1.056101381,-0.902805269,1.126338625,0.231050686,0.661683777,0.164844707,-0.279729261,-0.503330261,0.475531069,-0.200594019
0,0.522845937,1.81095358,-1.190465278,1.596379956,0.44979662,-0.180657526,-2.566120038,0.368675036,-1.43742176,0.887973265
0,-1.046884848,-1.00227981,-0.644126566,-0.283398025,0.446173078,-0.043931436,-1.088063276,-0.265877891,1.081084375,-1.821425147
0,0.836020301,-0.221990053,1.167342699,-0.233313435,0.68719826,-0.397014888,0.005239098,-0.821047214,-0.671183729,0.089344283
0,-0.902488066,-0.37750128,-1.152650917,0.322178302,-0.528377911,0.094148082,-0.83064243,-0.243499975,-0.418995002,0.308603006
0,-0.784724583,-0.427293113,0.164680067,-1.232985893,-0.276888311,-0.254259267,-1.490110412,-0.593004241,0.069240491,0.416234341
1,1.21497327,0.106084254,-1.117495762,0.280632662,-0.876689031,-0.359247793,-0.838969337,0.273508192,0.873311582,0.897794376
