Label,wavelet.LHL_gldm_DependenceEntropy,log.sigma.1.mm.3D_firstorder_Minimum,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHL_ngtdm_Contrast,wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet.HHH_gldm_DependenceVariance,wavelet.LHH_gldm_LowGrayLevelEmphasis,wavelet.LHL_ngtdm_Contrast
1,0.153912299,-0.154046818,-2.08707808,-0.397787603,-0.854990084,-0.025231907,-1.058083206,-0.151233965,-0.542042657,0.3300971
0,-0.959440105,0.584281692,1.869289982,1.917584863,1.666452725,0.061521601,-0.907211833,0.458672909,-0.570641589,-0.316937279
1,2.115695637,-3.340275803,-0.356911853,-0.795257012,-0.673840711,-0.06211115,2.235459578,0.01105178,-1.020248412,-0.597115361
0,-0.689373079,0.825340893,1.285368185,1.952889744,1.519779621,0.220398238,0.086277238,0.649615012,0.215730922,3.150767566
0,0.057448746,0.519824615,-0.752399699,-0.774809337,-0.662987229,0.165329485,-0.115028819,-0.27240873,-0.088324429,-0.453278702
1,-0.011424536,0.255629834,0.284759804,-0.591924853,-0.653894033,0.172256659,-0.580220893,-0.762613411,0.334456714,-0.071982782
1,1.165074171,-3.688365407,-2.091485318,0.421706816,-1.06878067,0.043014831,0.355955691,-0.302880988,-0.12135984,2.180604832
0,-0.822350219,0.818479752,-0.466397192,-0.259926136,1.361500242,0.201157549,-0.517042828,0.001504214,0.408210956,-0.051122257
0,-1.788294804,-0.353948638,-1.013823868,0.192522865,-0.295042401,-0.410065375,-0.700523668,-0.461123279,0.338340765,1.013209216
0,-0.935554628,0.818664183,1.285368185,1.838546995,1.421734723,0.342686881,0.13528526,0.929826494,0.477746459,3.163449443
0,-0.388745162,0.156066045,-0.356911853,-0.503389176,-0.359867806,0.468377989,-0.82082343,0.939166022,0.462630177,0.390402522
1,1.779533466,-2.915256722,0.444520806,-0.725597629,-0.682707969,0.180783315,0.743652535,0.020527217,-0.240734959,-0.541102816
1,1.157039877,-0.39701772,0.505096134,-0.635834389,-1.033979522,0.090202769,-0.008145314,-1.085974245,0.15227004,-0.533713432
0,-0.049714448,0.114698354,-1.103402777,-0.434517856,-0.504230808,0.502094445,-1.456548417,-1.073216513,-0.304535571,0.824052528
0,-0.052334132,-0.067836184,0.105607831,-0.670800641,-0.554028098,0.340884558,-0.470682601,0.456787653,0.474984248,0.179789972
1,-0.181620019,0.736760846,-1.026962109,-0.811209663,-0.699514667,0.235593561,0.482557999,0.18014244,-0.097335682,-0.740555607
1,1.795677029,-4.680767717,-1.146834982,-0.804302949,-0.714679861,-0.026526226,1.71034023,-0.391837269,-0.410418136,-0.811283467
1,1.746895568,-3.951130739,-0.590351455,-0.419152419,-1.046671853,-0.037925694,0.858305015,1.03779757,0.14000658,-0.063919531
0,-0.63942961,0.664102333,-1.103402777,-0.775730565,-0.656730645,0.114629341,0.088285162,0.442755407,0.344175946,-0.669334002
1,0.817739993,-1.790778251,-2.197431615,0.281548581,-0.703997547,-6.487164768,3.419151249,0.320783838,0.123224447,0.251325202
1,1.654594939,-1.899363527,-2.17197846,-0.557275708,-1.331223326,0.104320046,0.023991365,-0.468281422,0.061578454,0.127698387
0,-0.841370553,0.461716147,-1.342279876,-0.784255557,-0.626446553,0.073175348,-0.48834894,-0.498904315,0.02412592,-0.394017834
0,-0.605244916,0.986680413,1.285368185,1.916246783,1.380551225,0.508834204,0.002081688,0.855447562,0.245123694,3.137687678
0,0.00224024,0.219396755,0.153274912,-0.552944467,-1.028852773,0.147959348,0.043297957,1.027313086,0.129120235,0.576324815
0,-0.915463078,0.938873899,1.285368185,1.938405324,1.568646653,0.136807443,-0.821793689,0.904583333,0.282308642,3.190158021
0,0.05124511,0.550905405,-1.239637374,-0.75747365,-0.577912386,0.188544119,-0.431450631,0.295959229,0.030892895,-0.66803088
0,0.028258125,0.017807961,-0.151200654,-0.629551038,-0.601559636,0.041280076,0.267002483,0.686702643,0.158645209,0.076931798
