Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
1,2.058620787,-0.11227653,-2.047655216,-0.168750182,0.448533072,-0.65629882,-0.676450461,0.793824333,-0.334655568,0.150919541
0,-1.035056709,-0.11650603,0.85567686,-0.494546968,-0.252355024,-0.177687645,0.948268087,-0.889373335,0.717592913,1.225267107
0,-0.719560971,0.235896099,0.61930552,0.142609444,-0.602061778,0.669860766,1.128081855,0.508160589,0.653213993,0.351199596
0,-0.898029075,-0.699609676,0.524109552,0.101885108,-0.915295422,-0.513178008,0.617404625,-0.90013111,0.269378624,-1.4820081
0,-0.259960487,2.697321475,-0.059631083,0.626728297,-0.145746633,-0.613168176,-1.191120001,1.269054924,-1.248640326,-0.726401879
1,0.154597841,1.28398817,0.132213624,-0.058044214,0.372584296,0.259423189,-2.776168124,-0.209103416,-0.605041757,0.456087825
0,-0.200365629,-1.438700347,-0.523235868,0.096219263,-0.753828875,1.199601166,1.720256282,0.799627359,0.094204739,-0.309755002
0,-0.784532724,0.507312213,0.809400215,0.082612526,0.531195121,0.322553347,0.290736749,-1.385408541,0.296806004,1.524230982
1,2.414602458,1.171242961,-2.876848473,0.009586088,1.033641502,-0.166408501,-2.157322416,0.481852258,-1.329175812,0.743835207
0,1.000004549,0.141894752,-0.714406396,0.147062879,0.043030684,-1.308060688,0.025012835,-0.127788263,-1.201157728,-0.572807205
1,0.033208325,-0.343308014,-0.056902054,0.021001096,-0.735274651,-0.391564123,0.412653602,-0.378262156,-0.170255721,0.162731168
0,-1.039851578,-2.18073643,0.802442702,-0.217175979,-1.216026137,-0.38047883,1.45375113,-0.197535677,1.428406147,-0.622983831
1,1.287143477,-0.75995695,-1.142564004,0.589135836,0.250257619,-1.279267321,0.108810971,1.254443059,-1.090662978,-0.202385833
0,-1.182962702,-0.012197725,1.136528586,0.458984447,-0.263592138,2.248721063,1.072272075,0.055401853,0.70626377,-0.249098034
1,-1.032845678,0.442339317,0.99126956,0.674694445,0.216729155,2.341477263,0.64738421,-0.188921509,0.109287929,1.07639434
1,1.904920601,-0.832691233,-1.55754765,-0.105738866,1.921746425,-0.587699993,-0.180311964,1.191106413,0.171386177,0.177017369
