Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,0.542524549,-1.424454419,-2.049451934,0.055616372,-0.931528017,-0.26780159,0.524231796,1.53065264,-0.264856708,-0.311901756
0,-1.039851578,-2.18073643,0.802442702,-0.217175979,-1.216026137,-0.38047883,1.45375113,-0.197535677,1.428406147,-0.622983831
0,0.809485479,0.814016599,-0.656462777,0.233084377,0.238648683,-0.265695552,-0.126962839,-0.385667642,-0.332006968,0.65923374
0,-0.898029075,-0.699609676,0.524109552,0.101885108,-0.915295422,-0.513178008,0.617404625,-0.90013111,0.269378624,-1.4820081
0,-0.788797448,0.580278978,0.972808748,-0.138132171,-0.356683438,-0.266303301,-0.522186234,-0.18094082,-0.202008155,0.171625958
1,1.181682543,-0.079782543,-1.005498058,0.33700871,1.605477007,-0.988321125,0.361829545,0.6701341,-0.376351944,0.751768306
1,-0.419959251,0.335099701,0.672282935,0.097945834,-0.801624801,-0.097731471,-0.466967396,-0.483174099,-0.479895994,-1.346432494
0,-0.165090773,-0.794523734,-0.182841194,0.706555525,-1.030284623,-0.424263216,1.107283686,-0.066602233,2.071769232,0.092759145
0,-0.61305286,-0.650727046,0.596303629,-2.189553309,-0.618737641,-0.11470798,0.713628999,-0.291444056,0.195936609,0.826772413
0,-0.843219428,1.039193396,0.882725644,-0.323960132,-0.287869298,-0.314292341,0.592755821,-0.772220888,0.24108388,1.213603966
1,0.074239509,0.218660992,-0.059498293,-0.02486438,-0.874360981,-0.196689524,0.086801613,-0.429323184,-0.437990596,0.94149096
0,-0.984048977,0.669204553,0.854040297,-0.728880124,0.192951061,0.565232997,-0.064458852,-1.09103446,-0.050380173,0.880082564
0,-0.492410112,-1.607918844,0.172057118,0.095248975,-0.944599111,0.093560544,1.634079314,-0.815596769,1.971593491,-0.81826959
0,-0.476184454,-0.530626737,0.504390744,-1.689495659,-0.368234309,-0.207666198,0.788085207,0.162044732,0.229016546,2.463897663
0,-0.38121755,0.139247131,0.653755438,0.232005586,-0.158618373,0.13562218,-0.44101141,0.148215866,-0.176813993,-0.575837862
1,0.033208325,-0.343308014,-0.056902054,0.021001096,-0.735274651,-0.391564123,0.412653602,-0.378262156,-0.170255721,0.162731168
0,-0.76269263,0.115318502,0.86684347,0.797316878,-0.75613058,1.30222176,-0.211243689,-0.27059404,-0.394943041,-0.679580973
1,2.554595614,0.653302108,-2.552716737,-0.215011937,4.487454531,-0.50129277,-0.01085692,3.292655392,-1.502741426,1.593269341
0,-0.420429524,-1.875906884,0.346010573,1.649084055,-0.296619205,-0.117686655,0.224554558,-0.245887578,1.62528886,1.620939469
0,-0.634537909,1.61069304,0.871526112,0.136005491,-0.273747833,0.692736443,0.508390558,0.030825655,0.671545554,0.014830167
0,-0.732603444,-1.238723119,0.665190864,0.124783393,-1.089435183,1.908965548,1.067775639,-1.33537724,0.629645056,-0.925906532
1,2.414602458,1.171242961,-2.876848473,0.009586088,1.033641502,-0.166408501,-2.157322416,0.481852258,-1.329175812,0.743835207
0,1.426381249,-0.213655282,-1.435168011,0.155030357,0.100489205,-1.648832444,0.055650817,0.810245158,-1.32594625,1.02057654
0,-1.571555561,-2.008650336,1.333092124,0.03522975,-1.263164909,1.107090237,1.870720844,-0.581492954,1.284487153,0.265459984
0,0.625401057,-0.764520955,-0.597646904,1.063833043,-0.471169863,-0.710846171,0.116123584,-0.378121619,-0.926510532,-0.743878035
0,-0.158918985,0.227338988,-0.200195359,0.233979016,-0.662461572,0.584004413,0.27719964,1.208130021,-0.284571524,-0.854051578
1,1.728324882,-0.151501995,-1.973149711,-0.675065301,0.773127074,-1.135411746,-0.545171218,1.932478543,-1.623263743,-0.97968406
1,1.023211333,-0.243476955,-0.66117129,0.171163024,-0.046087332,-1.176009545,0.298571746,-0.028521496,-0.657775273,1.08078076
0,-0.487521525,0.567676272,0.6569544,0.881339472,-0.413233983,1.80672745,0.460527195,-0.584987022,0.478402767,-0.680691959
