Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.3.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.LHL_glcm_Correlation,wavelet.HLL_firstorder_Skewness,wavelet.HLL_firstorder_90Percentile,wavelet.HLH_glcm_InverseVariance,wavelet.LLH_glcm_Correlation
0,0.32892317,-0.375629464,0.823337837,-0.640484551,0.222610853,-0.414713489,-0.631741068,0.221566964,-0.215523218,-0.333003674
0,0.331043637,-0.369477138,-0.712201596,0.952798275,0.052318071,-0.387723308,-1.852543182,1.1450548,-1.448626029,1.122917354
0,0.08703746,-0.276251073,0.214890621,0.148343855,0.282470776,-0.418501299,1.099693227,0.674999473,0.214226523,0.119746359
0,-0.004808768,0.031113827,-1.175458343,-0.890657748,-0.89864267,-0.095005617,-0.769093602,-0.900976258,0.617780026,-0.043775028
0,0.324994234,-0.348263617,0.865568465,-1.670242364,0.175108745,-0.635165387,1.792301587,2.249958643,-0.769961446,-0.275699885
0,-0.063721753,0.087142401,-0.886287072,-0.852565958,-0.471611601,-0.885253578,1.93635898,-1.252415059,1.039526976,-0.205558897
0,0.092908572,-0.207815243,0.657395862,-0.300186877,0.160882979,-0.339820671,0.344426819,0.266128704,-0.66101447,0.14287037
1,0.056160598,-0.153061413,-0.090314042,-0.745410578,-0.40911985,-0.724230901,-0.347983928,-0.120679653,-0.602138848,-0.347061114
0,0.32364352,-0.453005471,0.820176442,0.197191593,0.423739379,-0.625347893,2.700455356,1.49959857,0.255866778,-0.035939881
1,0.09124828,-0.252258858,-0.421026283,-0.700115133,-0.831282998,-0.802968544,-1.137577202,-0.877422927,0.439065908,1.261324663
0,0.091003969,-0.30935912,0.495593792,0.562071042,-0.319387127,0.038161531,1.978511059,0.863146893,-0.221688604,0.480994824
1,-0.028169504,0.192779833,-1.335671097,0.036321545,-0.714462519,1.048772787,-0.242839716,-1.468722098,-0.238300343,2.756999397
0,0.090106971,0.069160441,1.047625764,-0.823157663,-0.034960706,-0.195008501,0.272654169,1.240933472,0.06167147,0.030439452
0,-0.109229865,-0.008723631,-1.501081832,-0.694884142,-0.635516068,0.144353036,-0.165154922,-1.097284469,1.309948252,0.660421973
1,-1.53104522,1.353462427,-1.655327996,-1.509000438,-0.120769776,0.533411885,-1.954872733,-0.946459177,0.614464153,2.896002125
0,0.325869085,-0.424820277,0.635017782,0.599911404,-0.151730007,-0.21307864,-1.247051414,-0.235031829,-0.881740461,-0.244949173
0,0.313676073,-0.035487384,0.562290281,-1.252327063,0.055635759,-0.352926805,-0.282768835,0.677782555,-0.374821228,-0.433142543
1,0.079880287,-0.004183557,0.036711715,-0.149694558,-0.712009019,-0.580926823,-0.491012985,-0.215987917,0.22927852,-0.483237063
0,0.086174041,-0.275676104,0.125583252,0.367063634,-0.527978572,-0.22066387,-1.035511022,-0.588014994,0.035354199,0.00733478
0,0.329530662,-0.50296415,0.738639734,0.744127051,-0.272325944,-0.3824096,0.132527079,-0.623725229,0.195109009,-1.392541919
1,-0.716708176,0.59324528,-1.25905409,-0.686345401,-0.035728756,1.497312216,0.410848079,-1.191579903,0.523599476,1.760938236
0,0.317826721,-0.319091937,0.727069027,-1.204233725,0.192746475,-0.41553781,1.938701143,1.519977585,0.087329603,-0.508969641
1,0.088745598,-0.267126999,1.118055047,0.029934704,0.499317964,-0.109343704,0.919886528,1.430725036,-0.073785901,-0.576157882
1,-0.100361017,0.718819197,-2.063790438,0.108668245,-1.284036433,0.454311116,-0.356254503,-0.816224723,0.66827022,0.177119351
0,0.093663972,-0.299733924,0.989401985,1.253242733,0.570218318,0.311479408,-0.145720978,-0.355725973,-1.679852406,0.267887863
1,0.28996072,0.891307066,-0.455216182,-0.522450217,-0.855549453,-0.650983178,-0.102124611,0.127142391,0.285914775,-0.153312506
1,-4.684549326,1.677712719,-2.742669664,0.138951831,2.115922509,5.235150551,-0.07930595,-0.940365442,0.770485256,3.874752908
1,0.333262834,-0.517121284,0.130030367,1.006074987,0.123731269,-1.281647643,-0.955994524,-1.551266783,0.118044175,-0.496814736
0,0.328022902,-0.396177813,0.036271552,-1.497443293,1.522108608,-0.719234936,-0.052460028,1.926678678,-1.756420379,0.981972961
1,0.116089152,3.800245224,-3.619892036,0.49311803,-1.536422046,0.83053319,-0.907868727,-0.42468477,0.561878742,1.296330518
0,0.179730178,0.024166789,-1.533533519,-0.012136293,-1.114385045,0.413892071,-0.014653178,-1.68265784,0.242190251,0.863996953
0,0.076278861,-0.189201479,0.338457832,0.376329305,-0.31615052,-0.423228709,-0.040154768,-0.701122297,0.536131201,0.128260534
1,0.079267599,-0.098638793,1.109911783,-1.656917746,0.168185092,-0.545218113,2.023322697,1.284947791,0.621641884,-0.531094589
1,0.336828367,-0.389878419,-0.216331954,1.222920225,-1.157435352,-0.312330854,-0.046074829,-0.033762118,2.056052701,-0.835330934
0,0.322422673,-0.440246256,0.82169835,-0.944279557,-0.334332365,-0.671812626,-1.551495391,-0.877820555,0.172983402,-0.347774548
1,0.301580581,-0.182824521,-0.679343667,-0.716754141,-1.064136695,-0.577821431,0.293799803,-0.681716239,1.164108551,-0.417556882
