Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
0,0.171646587,0.854364272,-0.809387316,-0.290249001,0.386434726,0.233386205,2.446077764,-0.773765582,0.323767859,0.586545611
1,0.267481178,-0.044695768,0.051175015,-0.888048344,-0.46263239,-0.438908657,0.023698745,-0.18031293,3.26796445,0.087550016
0,0.173172323,0.82609772,-0.948392116,0.185490745,0.058865505,-0.049301498,1.779423787,-0.554989897,0.009121504,-0.062527567
0,0.174689702,0.15407124,-0.463123486,-0.940039444,3.827255245,1.911787992,-0.375544567,0.373861678,0.762716343,1.614969316
0,0.174015762,0.481552919,-0.447108066,-0.369764831,0.807124211,0.221682234,-0.562493227,-0.644331887,0.941490002,0.779455281
0,0.291165786,0.678759762,-0.411908476,-0.15447581,0.111879497,-0.177341835,-0.037674269,-0.322109627,0.551357581,-0.450679271
1,0.267524214,-0.042062394,0.009456782,-0.745497221,-0.201967802,-0.170773764,0.150599894,-0.229913248,1.207447616,0.419832615
0,0.166484674,0.838713972,-0.729903915,-0.753562376,-0.71735343,-0.383489144,0.97203531,0.306868535,0.950483937,-0.207494053
1,-2.832885948,-2.530921942,2.544401752,4.434616125,-0.520683921,-1.457930325,-0.916308505,3.262402541,-2.721348837,-0.00958965
0,0.17718406,0.325485039,-0.392075561,-0.298906452,1.328546947,1.57591103,0.224889597,-0.471770868,0.946319949,0.22290558
0,0.173737181,0.843328248,-0.603409713,-0.276276751,0.482203148,0.650886136,-0.448926952,0.087078053,0.32034943,0.503225455
0,0.292255829,0.690358751,-0.769178174,-1.108480277,0.70263815,0.630322127,1.08028683,0.784318376,-0.126076811,1.087883328
1,-0.856731672,-2.902343023,2.430726331,1.067484553,-0.576817908,-1.331425374,-0.538662247,1.535793036,-0.532975888,-2.200861262
0,0.064019801,-1.429689008,1.430805821,0.094005893,-0.012731097,-1.286458674,-0.002304698,0.417199855,0.247747424,0.056094197
0,0.294333013,1.367813125,-1.622178183,-1.286537799,0.88186308,1.28614261,0.429888974,-0.076702559,1.753151943,1.906674464
0,0.15571105,-0.604395394,0.640204044,-0.471612711,-0.377212025,-0.899050469,0.021091422,0.02039549,-0.26176432,0.115817835
0,0.287774632,-0.18740525,-0.185887617,-0.67087029,-0.494993122,-0.285260365,0.26659133,-0.560611695,0.190967793,0.281705502
1,0.014209056,-1.959816376,1.728837127,0.759536299,-0.531940665,-1.574823563,-1.027056071,0.295007531,-1.208536354,-0.537284928
1,0.068383534,-0.654974604,1.016036963,-0.039141499,-1.083774643,-0.65902171,-0.272999358,0.053750835,0.393424311,0.303499381
0,0.167974126,0.631889203,-0.458298241,-0.414289014,-0.051882624,0.463559122,2.664302804,-0.491786002,-0.331191805,0.455955017
0,0.146298434,-0.212378616,0.382733037,0.033451514,-0.678791124,-0.81094378,-0.339022036,-0.122857306,-0.104492379,-0.503955717
1,-0.120092849,-1.231795328,1.460224438,-0.071310935,0.259608693,-0.262946129,0.259605775,1.042948249,-0.271102762,0.253330614
1,0.263448147,1.109278934,-0.995650926,-0.053505893,-1.599731186,0.144072657,2.083220172,-0.750026898,0.732955947,-0.756004689
1,0.218709192,-0.707145212,0.867376705,0.143667098,-0.084255405,-1.051712523,0.168146288,-0.894827766,-0.012741546,-0.981974615
