Label,wavelet.LHL_gldm_DependenceEntropy,log.sigma.1.mm.3D_firstorder_Minimum,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHL_ngtdm_Contrast,wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet.HHH_gldm_DependenceVariance,wavelet.LHH_gldm_LowGrayLevelEmphasis,wavelet.LHL_ngtdm_Contrast
1,0.945671579,-3.264477743,1.285368185,1.86477928,1.573500273,-0.286709901,2.968904163,-0.438283399,-0.964212395,-0.540285984
1,-0.884504312,0.492389661,1.285368185,1.906171931,1.560299165,0.008487353,-1.097655037,-0.931893544,0.044643146,-0.503685335
0,-0.772195571,0.915180905,1.285368185,1.916212077,1.314232689,-0.168529995,0.144896973,0.061650349,0.120697378,3.146365888
1,0.879634471,-0.978660037,0.910560561,-0.768452587,-0.739379422,0.067978341,0.688215907,-2.03897379,0.079233342,-0.788449313
0,0.206609212,-0.146220843,1.285368185,1.949430686,1.381768551,0.028618582,0.968435354,-0.195446068,0.074312214,-0.9251069
0,-0.220294497,0.175738948,-0.343773613,-0.659065753,-0.611114441,0.201494104,-0.172903853,0.401203649,0.032865902,-0.452164508
1,1.573168034,-0.667848463,-1.866496211,-0.357913644,-1.2018233,-6.516433787,4.913162818,0.301152958,-6.922137132,0.564046685
1,-0.411843389,0.89821548,-0.752399699,-0.826206351,-0.69051908,0.261268652,-0.881056204,-0.755737441,0.088516253,-0.606916655
0,-0.280398009,0.772165035,1.285368185,1.780062654,1.383144875,-0.109535062,-0.223077982,0.215012684,0.350552601,0.657699394
1,-0.470417927,0.572068872,-0.466397192,-0.277331578,1.247815899,0.074892772,0.052168305,-0.953035194,0.326185319,-0.158932959
1,0.251322772,0.353319237,0.135772158,-0.390094662,-0.322499763,0.049514193,-0.137394863,-0.221570146,0.24068479,-0.421471557
1,-0.360847613,0.729157399,-0.356911853,-0.814881079,-0.729594179,0.19203727,0.078407663,-0.690891152,0.190977812,-0.676647725
1,1.558888252,-3.597667113,0.135772158,-0.168779913,-0.367978658,0.076808945,0.494113077,-0.274281258,-0.128632355,0.298116184
0,-0.705652599,0.594249596,-0.752399699,-0.682565885,-0.521082257,0.119754266,-0.811662193,-0.350909816,-0.11324414,-0.588728737
1,1.109686699,-1.219328366,-1.196949055,-0.540197361,-1.233524553,0.0843622,-0.109050998,-0.247291644,0.004419757,-0.032935363
0,-0.276996505,0.281785196,-1.127863794,-0.619299322,-0.518264622,0.165593674,-0.37753303,0.248737753,-0.225631474,-0.222363195
0,0.444389384,0.321404692,0.460813222,-0.540874436,-0.431189528,0.228940905,-0.028146003,-0.575682123,0.203630347,-0.373988029
0,-0.158162321,0.607230086,-0.028455845,-0.282381207,1.367595997,0.450442788,0.192062224,0.46898607,0.069662308,-0.638790449
1,0.286214827,0.663197036,-0.466397192,-0.290551632,1.435315408,-0.072748634,-0.095281883,-0.104315933,-0.004416153,0.076815418
0,-1.266166075,0.697472154,1.285368185,1.861425417,1.568084881,-0.324083145,-0.643506951,0.520756898,0.18297898,3.030884539
0,-0.203708013,0.262706055,0.869756833,-0.472115415,-0.558563379,0.244437702,-0.11078662,-1.089930991,0.384949292,-0.267641562
0,-1.366845671,0.863284506,1.285368185,1.75713786,1.530822054,0.601680161,-0.601631556,2.094401375,0.209208896,2.794346366
0,0.510838059,-0.677966437,-0.369881188,-0.194075843,-0.128682811,0.263628768,-0.338388017,0.249489156,0.013493411,0.511980702
1,1.074793982,-1.151915391,-0.294505212,-0.512858202,-0.496542394,0.083919006,-0.05987141,0.680845631,-0.063232445,-0.746815272
0,-0.80017438,0.595739325,-0.356911853,-0.724120197,-0.63502129,-0.083837962,-0.327476716,1.344050921,-0.110796017,-0.560987402
0,-0.841370553,0.461716147,-1.342279876,-0.784255557,-0.626446553,0.073175348,-0.48834894,-0.498904315,0.02412592,-0.394017834
0,-1.124307103,0.805265378,1.285368185,1.884119583,1.571395888,0.688355156,-0.80664536,-0.242806599,0.799519938,3.568054705
0,1.37528241,-0.079568978,-1.339555383,-0.869010507,-1.024124498,0.095422204,0.288131041,-0.614787935,0.216864476,-0.780165141
1,0.769917329,-0.005792897,1.122717128,-0.858256825,-1.143099819,0.150893267,0.296915585,-1.223258962,0.236219033,-0.693940691
0,0.05611143,-0.13441351,-0.854600042,-0.814444725,-1.054238672,0.623023628,-0.181038032,-0.6496331,0.359055664,-0.405547666
