Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
0,0.356263791,-1.0699407,1.091781117,0.467161775,0.624727331,-0.344013259,0.481288338,-1.37550731,-0.158229963,-0.177064
0,-0.040850728,0.115686663,1.310834612,-1.274597777,1.157200114,-0.508613343,0.501129755,-1.167202916,0.768490543,-1.569037426
0,-0.117330853,0.83835332,-1.415146249,3.234586199,-4.481611737,0.045103367,1.256224474,2.193743199,-0.762529311,-0.758496161
0,-1.619105825,-0.1267442,0.325752394,-0.266038501,-0.40849582,0.691735348,-0.945260789,-0.655350347,-0.264286756,0.278247495
1,0.942443022,-0.16286211,-0.922558065,-0.569895825,0.094149099,-0.478867919,0.523296503,0.149461569,-0.561744859,-1.047282815
1,0.050603201,-0.681402663,0.930278406,-1.204349604,1.636550405,-0.24946221,0.242707241,-0.825417673,0.566223347,-0.022389995
1,-0.08373912,-1.065717341,0.616385835,-0.87876575,0.764620906,0.27470588,-0.445744259,-0.309376991,0.692501676,1.517561521
1,-0.170466664,-0.28733041,-0.26607967,-0.133863857,1.285327315,-0.157970136,0.418566754,-0.514988371,-0.021048496,1.233007971
1,-0.370618147,0.519208254,-0.047475039,-0.663048588,1.812169052,1.765272039,-1.334173894,-0.864146671,-0.370674377,-0.229342714
1,1.538209048,1.553731515,-1.158687572,1.690626089,-1.130038729,-0.421041591,0.180541816,1.31248258,-0.114530798,1.129773876
1,-0.364128128,1.419852306,-1.216454891,0.288420394,-0.037986703,0.073640707,-2.034480936,0.685762517,-0.858989552,0.688263896
1,-0.98627507,-0.620807563,1.58763273,-0.675639333,0.685785203,-0.09226715,0.468157337,-1.359305594,1.534196985,-0.549473071
1,-0.869775987,-0.410253376,0.549168265,-0.512970618,0.685827138,0.038035019,1.166091624,-0.832110362,2.208787169,-0.133670049
1,1.202490316,-0.107857248,-0.945969629,-0.198954026,-0.545834916,-0.480284861,0.09226806,0.404246275,0.812779833,0.508265061
1,-0.042684121,-0.805640982,0.622395127,-1.479308591,-0.495389803,-0.170050021,1.338461674,-0.99743535,-0.341635652,-1.192817452
1,-0.06694569,-0.855335289,0.023395871,-0.679208111,-0.170424309,-0.470894879,-0.000225237,-0.013079789,-0.111529676,-1.838762238
1,0.000428624,-0.876476362,0.399033202,-1.158764442,-0.719303081,-0.265386839,1.077421558,-0.889119276,-0.333406791,-1.367194618
1,0.123108617,-0.692562168,0.458434579,-1.438017126,-0.44470983,-0.184012063,1.356845606,-0.935441204,-0.392452732,-1.109252501
1,-0.057141114,-0.393858557,-1.198716469,-0.443630055,0.023475456,-0.183752685,0.255337616,2.035713806,-0.518988018,1.158352875
1,-0.52187268,-0.40158751,-0.880478804,0.835406713,-0.080491503,-0.036661544,0.250531345,1.243395462,0.099499089,0.480946619
1,1.811795853,-0.109241282,-1.368660831,1.462333863,-0.153137369,-0.541395219,-0.251164132,2.737745856,0.355825674,0.975994471
1,0.951626792,-0.219161479,-0.501411746,-0.844016983,-0.108808869,-0.502610647,0.474247089,0.115258172,0.092024869,-1.179307276
1,1.322555081,0.215893081,-1.102771327,0.228424966,-1.080306962,-0.463340999,-0.294811541,0.146610854,-0.257648907,0.854113999
1,-0.986825033,-0.665739727,1.80578081,-0.703745562,0.709591082,-0.125440566,0.317842374,-1.483580986,1.381815357,-0.644550526
1,0.359857354,-0.346484918,1.033265297,-0.955857429,1.235841451,-0.401463513,-0.044180516,-0.853868259,0.525255239,-0.334890575
1,-0.287272764,1.451439912,-1.71967797,0.66178213,2.089835273,0.413390217,-1.457025862,0.365898795,-1.092445132,1.22359085
1,-0.891793863,0.131617221,-1.205587763,0.838410084,-0.064396012,0.168801931,-0.632868429,0.898549709,-0.199796099,0.309925928
1,-0.918283658,0.230675209,-1.29415339,0.724054382,-0.052086296,0.193490271,-0.795402912,0.90611641,-0.310574363,0.339235426
1,-0.909884543,-0.237366569,0.444250664,0.715437696,0.113511595,0.162430009,-0.146821918,0.246941071,-0.504712633,0.608288581
1,-0.575227436,-0.224986823,0.253636429,0.266973217,0.46571236,-0.086397097,0.096775323,-0.144493521,-0.37547878,1.010010652
1,-0.694781456,-0.127129149,-0.539097126,1.292238583,-0.245608294,-0.010242283,0.222601746,1.295630757,-0.067662039,0.308078349
1,-0.643725639,0.120231588,-0.361243729,1.148918454,-0.351549009,-0.053635321,0.211864446,1.696754074,-0.488459237,0.449774402
1,0.01382527,-0.783876716,-0.692937649,0.49795702,-1.524283081,-0.542676993,-0.685227717,0.650823165,0.135479519,1.375915022
1,-0.377132595,-0.907785552,-0.402157337,0.557247113,-1.117091718,-0.429328905,-1.523079365,0.642711176,0.204361986,1.268273337
1,0.000391637,-0.894103775,0.35429997,-1.089932603,-0.751960593,-0.286498082,1.009430484,-0.854034832,-0.327728142,-1.409045228
1,1.001439236,-0.264211621,-0.850854172,-0.668247106,-0.01250583,-0.527904779,0.869883059,0.341411407,0.104424905,-0.52560164
1,1.458911656,-0.015923085,-0.944752226,-0.930074402,0.297511712,0.299699447,0.729595679,1.304821734,-0.064540786,-0.253300016
1,1.080894308,-0.204421374,1.108618562,0.333894624,0.062456587,-0.492231655,-0.36196108,-0.558010289,0.305285049,-1.687977898
1,-0.901824298,-0.292148869,0.506340239,0.628597562,0.056593164,0.128289211,-0.389777841,0.21995532,-0.519744333,0.707766623
1,-0.42232132,-0.998837625,-0.212809162,0.621436959,-0.703058631,-0.363411612,-2.042255597,0.441043669,0.261961909,1.078498369
