Label,log.sigma.1.mm.3D_glcm_Correlation,wavelet.HHL_firstorder_Skewness,wavelet.HHH_glszm_GrayLevelVariance,wavelet.LLH_firstorder_Kurtosis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.2.mm.3D_glrlm_LowGrayLevelRunEmphasis,wavelet.LLH_glcm_Correlation,wavelet.HLL_glrlm_LongRunEmphasis,wavelet.LLH_glszm_GrayLevelVariance,original_glszm_LowGrayLevelZoneEmphasis
1,0.704674438,0.277913856,0.443767996,0.223808183,-0.614619197,-0.901368825,-0.359331027,1.468883085,-0.127929188,-0.586061043
1,0.810116812,-0.890122527,-0.206723201,-1.63881097,-0.689665543,-0.647597504,-0.257199609,0.324819904,-0.184842279,-1.084585263
1,-0.338965353,0.342609153,1.631862399,-0.038850543,0.800680752,-0.510860267,-0.315393913,0.04382412,0.230321759,-0.43642368
1,1.561823821,-0.379070467,-1.104225302,1.901626758,-1.345825062,-1.049934921,3.339191136,-0.275917524,3.199307562,-1.287333193
0,-0.696581659,-3.041941717,-0.258859086,-0.282816285,0.723721938,0.8422392,-0.707908368,-1.499362103,-0.508233816,0.114341999
1,0.950707422,0.141519139,-0.130161629,1.08115675,-0.656070319,-0.966103056,-0.027693867,0.634511234,-0.044358287,0.875017673
0,-0.283084658,-0.310208888,-1.588347167,-0.371393109,0.498155966,-0.286247714,-0.295983356,1.01337764,-0.39694598,-1.34706491
0,1.028036781,0.089353102,-0.098509529,-0.512099955,-0.817419748,-1.020808468,-0.462633412,1.28576331,0.609719857,-0.475611141
0,-1.081874626,-0.58270027,-0.551994716,1.313942184,1.168193985,-0.22397287,-0.380233237,-0.998374011,0.003466514,-0.423250518
1,-0.597362376,-0.001630581,0.097719335,-1.016008824,0.695569799,1.105150167,0.047335744,1.220044501,-0.397843962,1.188011269
0,-0.691512259,1.59788192,-0.982783632,1.620011724,0.335348836,-0.237880111,-0.243917531,-1.745298712,-0.294365609,0.107497561
0,0.471212027,0.296526148,0.539496147,-0.055545079,-0.167404819,-0.825362453,-0.24099509,0.383350394,0.466886164,-0.275466691
0,-0.6092725,-2.015529386,-0.657989658,-0.362325215,0.225583683,2.322616793,0.218815023,-1.133654942,-1.157188586,1.19534005
0,1.252625481,-0.61869586,-0.242518268,-0.668091478,-1.05717608,-0.761193436,-0.345554135,0.404963465,0.124194875,-0.442367014
1,1.906845314,0.095062248,-0.443669891,0.147638003,-2.050764676,-1.142782473,0.804917756,-0.126444076,0.458401306,-0.503244279
0,-0.828131507,-0.355372486,1.666735245,1.225555862,0.843178712,0.184018411,-0.883036813,-0.559036582,-0.25045003,0.114341999
0,-0.67765784,-2.268523182,-0.779749725,0.348705842,0.631989174,0.498371248,0.515687914,-1.341174555,-0.60948153,0.500235867
0,-0.769252283,-0.463613047,-0.576225327,-1.473395781,0.512806095,0.715324852,-0.89372159,-0.790730833,-0.908169451,1.773274418
0,-0.0845528,0.37869557,1.399176166,-0.733134285,-0.050967932,-0.553682556,1.28608091,4.59485857,-0.145657524,0.113836742
1,0.371149987,0.225923747,1.657635375,0.45400664,0.142012834,-0.688003053,-0.21053009,0.402117619,0.381202761,-1.062115391
0,-0.46985037,1.714474074,-0.50148113,-0.314848563,-0.517318075,1.225511401,0.810793224,-0.790977995,-0.763746019,2.203670451
0,-0.603864273,0.250570802,0.119918092,1.526351244,0.823209565,0.584386878,-1.401519676,-0.411947707,0.542423594,1.144124762
1,2.216691163,0.091348563,1.085968281,0.74288585,-2.884868222,-1.178280711,0.489051163,1.386367638,1.053137945,-1.862784745
0,0.812387026,-0.423907856,-0.203618418,-0.578935459,-0.709620671,-0.700145289,-0.128199836,1.751540244,0.046226204,-0.750888065
1,0.181302889,-0.264332449,-0.011535905,0.159496089,-0.048222742,-0.094423637,-0.381800531,0.159792549,-0.744886477,-0.702560189
0,-0.92656532,0.418059635,0.446357808,-0.617012597,0.790136365,1.571952661,-0.19589373,-1.643068288,-1.206531765,-0.715124206
1,1.340072012,-1.416413216,-0.778344204,-0.197707734,-1.147862165,-0.988186287,1.246232374,1.051122118,0.248204295,-0.666761223
0,-1.196043116,-2.994622148,-1.80870636,-0.244276318,1.123018483,1.009369618,0.055327452,-0.066981688,-0.261598646,0.114341999
1,-0.989305147,-0.977576455,1.25862533,1.077140807,0.978282849,1.335798616,-0.187338014,-0.057582082,0.214939885,0.114341999
1,1.789735451,-0.419360634,-1.258580969,0.173838485,-1.557754809,-1.1088982,1.207159326,-0.937628006,1.955857013,-1.853469754
0,0.191755914,-2.215710431,-1.092274866,-1.178646002,-0.027278654,-0.13750984,-0.238628508,-0.128660292,-0.81004736,0.543506555
1,0.85374159,-0.067336819,-0.222469053,-0.583034545,-0.666460003,-0.95414269,-0.429427391,0.969126643,0.076040353,0.495188025
0,-0.638296111,0.067194567,1.249039786,-0.772267351,1.118760802,0.109397866,-0.00580298,-0.139115308,-0.525766456,0.500235867
0,-0.330902251,-0.404423769,-0.478210262,-1.224425184,0.331837784,1.812534368,0.275808956,0.483036967,-0.757902056,1.19534005
0,-0.323348081,-3.279552503,-0.057395814,-0.340823183,0.490707171,-0.105720379,-0.840564703,0.042725006,-0.37228478,0.113836742
0,0.142276999,-0.478214327,0.705939314,-0.190980117,0.158453604,-0.416322622,-0.198184626,0.089301914,-0.100589702,1.45724774
0,-0.622021587,-1.792538512,0.319382719,-1.233132003,0.800552085,0.035649481,-0.698468042,0.454418263,-0.394496638,-0.22980753
0,-0.491261169,0.043263355,1.257264496,0.157101468,0.823081793,0.602622073,0.077418685,-0.640196896,-0.381019522,0.114341999
1,2.193092946,-0.339001089,0.262689362,0.671600991,-2.169223462,-1.155187652,2.501302219,0.376687415,1.986479878,-1.156332711
0,-0.278607907,0.331746147,-0.490629281,-0.420414502,0.353702657,-0.388068158,-0.333636009,-1.152695278,-0.16070686,-0.723337532
0,0.576064245,1.202927149,-0.997556898,-0.985636168,-0.410996788,-0.337447239,-0.084152247,0.357162998,-0.564436115,1.156101784
0,0.572098255,0.528575009,-0.413876131,0.880579013,-0.669814568,-0.805508072,-0.390953739,0.999455251,0.397393311,-0.994340808
1,-0.291525581,1.543869042,0.886986453,-0.179605515,-0.462022375,0.801906516,1.046534122,2.239961353,-0.516810839,0.113836742
0,-0.355178863,-0.346795532,-0.495608784,-1.070132135,0.725949846,-0.027191648,-0.30228314,-0.8019183,-0.130143447,0.114341999
0,-0.639452564,-1.087436066,1.067561148,1.135040856,0.319463821,1.46168123,-0.348976058,0.229391522,-0.006612315,1.19534005
0,-0.656135232,0.624681921,-0.98876064,0.646717593,0.443645616,-0.110850987,-0.472596436,-1.198500174,-0.320927452,0.503195664
1,0.796018369,0.019915302,-1.285905673,1.060142532,-0.800883542,-0.841993832,1.057085156,-0.678840724,0.699947798,-1.60076815
0,0.391750611,0.55700289,0.17172384,-0.080708314,-0.208517047,-0.871168861,-0.244371509,0.205861547,0.038896306,1.836120414
1,2.195383133,0.262535589,-1.016660355,4.294945314,-1.4409705,-1.401945443,3.327936122,-0.452618646,3.533461557,-2.092458477
0,-2.243774314,-0.795376015,-4.220142595,0.759858077,-1.057371828,2.545128536,-1.895079031,-0.909633316,0.134771382,1.188011269
1,1.013872729,0.123012983,0.794674277,0.285258152,-0.808961764,-0.896800487,-0.57944823,0.579698306,0.847284642,1.131117862
0,0.178056888,-0.550924662,0.705349678,-0.103117161,-0.001807795,-0.426890985,-0.627014583,0.566598504,-0.516334074,0.503195664
1,1.552564151,0.245001143,0.266828147,0.338636946,-1.675188116,-0.989453925,-0.006554694,2.073406436,0.450877998,0.176782627
0,-1.115301344,0.453333838,0.99783349,0.171964079,1.004708229,1.59818978,-0.763323973,-0.95968507,-0.090068969,0.114341999
0,-1.014992705,-0.814875381,0.390113372,-0.061614555,1.271036144,0.787678567,-0.451302963,-1.085847104,-0.093184433,-0.71039367
0,-0.741789204,0.623327552,-0.881834647,-0.678437237,0.504747547,0.386124139,-0.373776266,-1.487177842,0.230178202,-0.908623675
0,0.77021802,1.410198027,0.699262262,0.661262774,-0.66351244,-0.672550651,-0.382749095,0.147883698,0.236686785,0.280080665
0,-0.529995784,-2.316708045,-0.228243331,-0.749862407,0.758139553,-0.265792964,-0.500018587,-0.599745249,-0.480993416,0.114341999
0,-0.345103813,0.483352934,0.890575271,0.018682273,0.643679243,0.016536787,-0.523903811,1.175760618,-0.07419543,0.076689692
1,2.187372635,-0.133281954,-0.461946556,0.449867342,-1.896643675,-1.349752874,1.930249053,0.204817553,1.581612822,-1.420315801
0,-0.840184328,-1.381721905,0.611170655,-2.006058551,0.210423674,3.22666921,-1.829810793,-0.881946874,-1.01214289,1.188011269
0,0.063435734,0.031030373,-0.129352329,-0.60852894,0.248763326,-0.684761385,-0.777328312,0.168327227,-0.091803701,-0.43642368
1,1.568316435,0.996326803,-1.477499751,1.040450124,-1.119121241,-1.291750427,1.716818244,-0.981045029,1.041880337,-1.78140426
0,-0.554629985,0.687318308,-0.813055141,0.828286348,0.584740044,-0.083560838,-0.289164879,-0.774309608,-0.613947206,0.503195664
1,-0.240978369,1.900978097,-0.78709172,-0.147195045,-0.035004782,-0.137887771,0.035998762,-0.222318189,-0.146477017,-0.43642368
1,1.930065774,-0.028117543,-0.424024455,-0.269777604,-1.907732333,-1.355107807,3.096721527,0.123105069,2.616346661,-2.089475599
0,-0.639982316,0.679713401,-0.555172843,-0.907215605,0.762452297,-0.149767322,-0.562755134,-1.166416885,-0.736135172,1.769167754
1,-1.30509594,-0.281471077,-0.051635111,-1.512861454,0.832856545,1.219997715,0.205992474,-1.109377987,-1.314478997,1.188011269
0,0.252668446,0.27827746,0.233946989,0.627082258,-0.078459291,-0.458833708,-0.948078433,0.830385483,-0.296295696,1.110030105
1,2.069986212,-0.119574075,0.134519716,1.881294107,-1.531437939,-1.1465282,2.714702656,-0.135196004,5.060746767,-1.869993672
0,0.400627446,-0.424016927,-0.181900425,-1.861955571,-0.365213491,0.041070598,-0.280356838,-0.105415076,-0.321773822,-1.251176749
0,-0.134239918,0.385448417,-0.285886452,-1.363661242,0.329309709,-0.659725955,-0.800763005,0.993653846,-0.609216968,-1.381451601
0,-0.046525186,1.287965056,-0.156989231,1.206000377,0.155295855,-0.220731987,-0.211603436,-0.566991712,-0.054626171,-0.43345237
0,-0.63367001,0.992327666,0.670345633,-0.799947966,0.859875171,-0.182702871,-0.64361025,0.790040945,-0.136488865,1.151174762
1,-0.346307028,0.718265156,2.177199079,2.066092534,0.471046604,-0.527317157,0.565327821,1.435114783,0.563217836,0.113836742
1,2.162685156,0.260507989,0.617034617,1.962021923,-1.716925476,-1.347285088,2.420583909,0.567133672,2.431711499,-2.095763352
0,-0.639963757,-0.646839094,-0.726930233,-0.560389962,0.563238727,1.039812818,-0.067802015,-0.97789472,-1.385991086,-0.914613436
1,-0.576791557,2.265801413,-0.508845227,-0.455846735,0.405515526,0.623444251,-0.909048637,-0.808149904,0.051178766,-0.43345237
0,-0.612155489,1.914225412,-1.281237105,-1.660869279,0.364896081,1.732051068,0.083061165,0.08398831,-0.905406041,1.19534005
1,0.315186118,-0.143973419,-0.576222123,-1.849006902,-0.346853416,-0.132304152,1.210657146,0.827378637,-1.276664705,1.144124762
1,2.359870395,0.305339218,-0.492808176,1.070004615,-2.714980052,-1.146390539,1.350850267,0.498791464,2.102982074,-1.957313059
0,-1.046420232,0.748510503,-0.016141132,-0.92058665,1.050854755,0.932113965,-0.628398722,-0.797730847,-0.592419406,0.357375541
0,-1.586789904,-0.839763431,-1.166402456,0.262628981,1.350002654,1.092165831,-0.587568371,-1.529451098,-1.281463394,1.188011269
1,2.004572645,1.259989539,0.971757222,0.390927505,-2.241279217,-1.262551349,0.273796346,0.855749877,0.412967705,-0.744172856
1,-0.151811214,0.442572446,0.740483734,-0.781765558,0.428353705,-0.523514171,-0.834676906,-0.036428598,0.115017367,0.519292233
0,-1.17648301,0.266268042,0.68231642,1.892008769,1.261384284,2.049069091,-0.203004212,1.528606089,-0.16157438,1.188011269
1,-0.188350728,0.423983807,0.571040405,0.44687377,0.4746129,-0.217700144,-0.094273194,0.326773974,0.410950219,-0.413458668
0,-1.19045979,1.751695667,-0.495686771,-0.231410282,1.070338552,2.097049586,-0.180202055,-1.255420101,0.044132248,0.114341999
1,2.597722404,-0.113487472,0.88813816,1.592426667,-2.552933888,-1.373207856,3.270614093,0.557594391,4.452031229,-2.077642627
0,-0.782478777,-0.687481922,1.699423485,0.13049858,1.014429486,0.848664054,0.179572587,-0.932261308,0.105227981,0.114341999
1,0.0307299,-0.863228838,1.003960132,1.414423034,0.215380501,-0.521470324,-0.046858716,-0.313981344,0.403640114,0.4394315
0,-0.248896039,3.90085334,0.449016347,-0.317003762,-2.052572034,1.489326096,1.550944294,-0.228619773,-0.944369276,1.188011269
0,-0.708214854,-1.217217063,1.358005114,0.881432595,0.841548046,0.236621583,-1.083329535,0.86374238,0.191349054,-0.766883089
1,1.027033292,0.302214774,0.053697911,1.972788526,-0.86106942,-0.772675267,0.681973624,0.214303034,0.534381129,-0.916833844
0,-0.556917292,2.403245671,-1.352659401,0.320129727,0.756373196,1.170031416,-1.14933592,0.36932411,0.489423628,-0.43345237
0,-1.057192274,-2.195414716,1.123665556,-0.9836734,0.846184726,1.33646819,-0.515131745,-1.778467847,-1.522529693,1.144124762
0,-0.764990864,0.374769302,0.321274556,-1.351385808,1.012869208,0.170559698,-0.550219782,-0.448268352,-0.604250096,-0.187762594
0,-0.782782803,0.358533134,-0.56695987,-0.281416165,0.605171794,0.283084345,-0.083843824,-1.127945441,-1.110588897,-0.55199927
1,1.232733208,-0.385852315,-0.94170346,0.753512842,-1.01129009,-1.112031297,0.665888336,-0.121525326,1.592750674,-0.962389669
0,-0.697326027,0.802750432,-0.213853463,-0.67343573,0.854305087,-0.202643638,-0.268456343,0.324830031,-0.750258109,0.114341999
1,0.841880639,0.254083105,1.004334123,0.747092246,-0.707809829,-0.952114436,-0.291102085,1.084577482,0.136942113,1.288030618
0,-0.278917521,0.039349544,0.752191503,0.904155159,0.43714251,0.97772314,-0.037359453,-0.75190465,-0.110515993,1.151174762
0,-3.566950264,-2.673600909,1.225418132,-1.398709678,-0.095994921,2.048283156,0.569117292,-0.301853421,-2.342279976,1.188011269
0,-0.571116886,0.468077639,1.006608833,-0.153880421,0.982745325,1.202145965,-0.567939678,-0.45299031,-0.423459906,0.404323628
1,1.913709209,0.516330534,-0.4784848,0.252757866,-1.796289422,-1.322254121,3.449522392,-0.235554316,1.263929156,-1.876829399
1,0.593624395,0.754368727,1.071098746,0.301033043,-0.225078719,-0.920783771,-0.405009705,-0.058906209,0.222089743,-0.954390262
0,-0.528905311,0.609353383,0.603556069,0.123506714,0.173979363,0.893087938,1.110629095,1.183245268,-0.230438767,1.188011269
0,-0.759709962,-1.79724092,0.933868176,-1.270848266,0.708170027,2.754147689,-0.278589637,-1.069730398,-0.808008963,1.19534005
1,0.294904902,-0.045431502,1.255768778,0.352922488,0.062233606,-0.910114815,-0.134442447,1.035135468,0.239708457,1.634685526
1,-0.337771085,0.959790105,0.494801759,-0.248873652,-0.705433717,0.992232139,1.048127649,1.416470375,-0.176054239,0.550955396
1,0.645136297,0.837877528,0.731908478,-0.106572115,-0.293757221,-0.903426645,-0.242378903,0.015478339,-0.004948779,-0.838252266
1,-0.615271273,0.6448943,1.21896952,-0.554221596,0.238883831,1.036392944,0.487454008,0.995847674,-0.53744446,1.192322147
1,1.060576493,-0.802229851,0.092357137,-0.864093763,-0.767632062,-0.741694483,-0.653179714,0.503690668,0.221836978,0.181250664
1,0.355176352,-0.508664724,-0.011148088,-0.091753993,-0.115840352,-0.348851237,-0.401492512,0.069395578,-0.319850826,-0.96892237
1,-0.493296847,1.318632337,1.732936936,-0.191628398,-0.481097925,1.342862769,1.323464294,3.154170121,-0.749813017,1.03534944
1,-0.314862681,0.260099493,0.554513532,0.453458644,0.610558096,-0.23221261,-0.217486528,0.108137434,0.316450124,-0.299201384
1,1.90760001,0.808277332,0.410538325,0.373879221,-2.20373773,-1.176464411,0.212948408,0.882404803,0.378994695,0.261593956
1,0.7548306,-0.094188088,1.715767448,0.297764296,-0.407371742,-1.194186033,-0.129846139,0.928244894,0.400038508,1.34638832
1,-0.265109139,1.286656898,-0.969706393,0.008482514,0.040905365,0.125793941,-0.139707437,-0.270432864,-0.456000989,-0.083154983
1,-0.435687495,0.216754542,1.293926626,0.243874218,0.900088705,-0.542462248,-0.416411468,0.138530084,0.132270621,-0.609790734
1,0.401347127,-0.144705376,-1.556578551,2.341279653,-0.374556783,0.023020277,-0.314781132,2.700481036,-0.276378849,-1.092184105
1,0.655131182,0.490476815,0.72364189,0.258260858,-0.440831748,-0.910030502,-0.379709861,0.787283563,0.028226335,-0.750385417
1,0.670441804,-0.751119189,-0.163367311,-1.239362828,-0.547185351,-0.524724009,-0.284876532,0.288163277,-0.309241843,-0.999728116
1,-0.325234945,0.349942877,1.566467142,-0.093353888,0.773365287,-0.51178861,-0.35349068,0.037936446,0.221862548,-0.366308374
1,0.835259267,0.205520795,0.139148263,0.678855772,-0.636619856,-0.935727261,-0.183310799,1.026030652,-0.083572973,0.189423249
1,-0.554512714,0.041089428,0.15953544,-0.99348112,0.669871023,0.948517836,-0.037489406,1.099206643,-0.348520929,1.123699048
1,1.995129269,1.147422809,0.834984736,0.367418481,-2.222869829,-1.250978102,0.325118519,0.760840639,0.417357946,-0.720891968
1,0.085079839,-0.236122236,0.065847035,0.235343203,0.088214764,-0.155310931,-0.409433946,0.179281483,-0.662882283,-0.73180211
1,1.08484611,-0.708418764,-0.486621271,-0.399927004,-0.89522261,-0.970320229,0.366847173,1.008090944,0.157852766,-0.056970982
1,-0.904006752,-0.968014364,1.237329461,1.10534536,0.914486662,1.180488207,-0.175590713,-0.079022959,0.230719565,0.14152696
1,0.717067682,0.249210176,0.388377937,0.156728355,-0.618929172,-0.905756374,-0.365158745,1.427334001,-0.110971433,-0.496167438
1,-0.505660835,1.304830452,1.784774454,-0.192365128,-0.482266822,1.376011079,1.340433813,3.210190318,-0.764090749,1.091817202
1,0.93539113,0.057801057,1.090516012,0.298312153,-0.686174235,-0.988236737,-0.441880184,0.683457001,0.717015987,1.204471181
1,1.057066627,0.264234974,0.37022987,0.271532266,-1.055403178,-0.937977951,-0.212713345,1.720129566,0.112629375,-0.269014915
1,0.32011537,1.396027483,-0.320121937,-0.596054632,-0.260938952,-0.551022611,0.066724849,-0.001637834,-0.329206985,-0.529380581
1,-0.691197607,0.055265426,-0.801359805,-0.420213639,0.42400031,0.816917492,-0.185291723,-0.643346601,-1.102833419,0.767576728
1,-0.255574269,1.916834903,-0.774997919,-0.160610388,-0.015857856,-0.104796975,-0.005077103,-0.24778098,-0.137886038,-0.436294534
1,0.444352626,-0.338702652,-0.479790671,-1.794150182,-0.436320175,-0.266784885,0.827577388,0.696221372,-0.991722002,0.562478294
1,-0.160252405,0.438278184,0.701339712,-0.497930925,0.439040292,-0.452866414,-0.66363223,0.047476798,0.18338242,0.30381239
1,-0.268695872,0.380574621,1.136934297,0.187764868,0.648553303,-0.374085969,-0.212229708,0.175834801,0.31459424,-0.425709319
1,-0.732004998,-0.358916808,0.520260218,0.524178832,1.057611949,-0.296529343,-0.632060417,-0.663794707,-0.003699265,0.130136622
