Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-0.683605581,-0.432365504,0.583922991,0.500840108,-1.279735064,-0.273503357,0.85618239,-0.114346778,0.668602887,-0.2954249
1,-0.502255794,1.465479564,0.786400259,-0.055359098,0.235746563,0.596384284,-1.698990959,-0.369198276,-0.152063214,-0.049264391
0,-0.823153547,0.506940986,0.847557965,0.086446821,0.497284729,0.32796004,0.271231034,-1.24399142,0.33926306,1.52013104
0,0.199934068,0.307017979,0.178891999,-0.188347382,-0.028012524,-0.319078829,-0.113139691,-0.82155319,-0.619173243,-0.276944514
0,-1.12694163,-0.766196484,0.988027719,-1.421629479,-0.92473492,1.094436611,1.285167766,-0.501261731,2.304800168,-1.119228691
0,-1.090796789,-1.216778281,0.989401985,0.83732335,-0.96745249,-0.355725973,0.220400764,0.267887863,0.570218318,-1.688797432
0,-1.130257731,-1.249021084,0.790675199,-1.157939123,-1.071514136,-0.353855897,1.858405173,-0.055422323,0.818573838,0.319758223
1,-0.125613983,-0.653603127,-0.079070694,1.211995536,-0.190107031,-0.868802715,1.126307008,0.017555838,-0.336222534,-0.159214588
0,-1.176998015,0.115163782,1.005487184,0.472795723,-0.188042217,1.227809053,1.140382202,-0.128824864,1.109875427,0.788517333
0,-1.022252179,-1.944791742,0.77548005,-0.109824974,-1.388168578,-0.393154295,1.577383576,-0.23767252,1.194457294,-0.63599496
1,-0.038711935,-0.406769973,0.002041584,0.008878246,-0.625063194,-0.376953572,0.383779856,-0.321997003,-0.184062526,0.170290883
1,2.364177823,0.554995004,-2.007061931,0.138800576,1.762960005,-1.198440306,0.211588837,2.102428818,-0.832618552,0.446696422
