Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
0,0.088966332,1.236105643,-1.141682058,-0.291217497,-0.241644308,0.846387042,-0.562339483,-0.254666528,0.665818077,-0.212659593
0,0.090271752,1.219894979,-1.182424728,-0.38196574,-0.255636082,0.668908195,-0.658122652,-0.017894608,0.489817415,0.004736037
1,0.091550049,-0.979821516,-0.12008399,0.303855091,-0.622217755,-0.67613246,-0.994082197,-1.018422811,0.345450319,0.239862866
0,0.08636919,-0.000621966,-0.319942547,-0.102622342,-4.848655156,-1.392353048,-1.621449734,-0.719211732,0.348027911,-1.096760578
1,0.088745598,1.118055047,-0.983516555,0.002428726,0.029934704,0.499317964,0.919886528,-0.109343704,0.87189765,0.664689809
0,0.324994234,0.865568465,-0.987296396,-0.398675772,-1.670242364,0.175108745,1.792301587,-0.635165387,0.327273715,-0.314512426
0,0.093694346,0.782709274,-0.735724996,0.451076435,1.400841354,-0.258599841,-0.190966184,0.075341269,-0.550805104,0.747393642
1,0.316986694,0.786400259,-0.502255794,0.235746563,-0.672200953,-0.152063214,0.637390617,-0.321922937,0.289419237,-1.698990959
1,-4.684549326,-2.742669664,1.491802482,6.964444079,0.138951831,2.115922509,-0.07930595,5.235150551,-4.370736443,-3.504624784
0,0.329059828,0.986248029,-1.031775084,0.029477943,0.444233349,0.338176368,0.299412068,-0.53133227,-0.049619114,-0.59640877
0,0.091345643,-1.942699444,0.449864296,-0.798983301,0.167106864,-0.290059473,-0.885075516,-0.232060589,0.919974492,0.486784437
0,0.331110562,0.77548005,-1.022252179,-1.388168578,1.26715392,1.194457294,0.522889988,-0.119163207,1.217176325,1.577383576
0,0.282990225,-0.729979558,0.923243743,0.242940241,-0.603406909,-0.281213117,-0.095042741,-1.002905432,-0.3016321,-0.137776448
0,0.331284145,0.488265203,-0.873055417,-1.050962961,1.876242936,0.222899762,-1.262175973,-0.836694657,0.470614691,0.669902451
0,0.085451969,1.007045706,-0.827244606,-0.28955494,-0.494294169,-0.219639968,-0.007448766,-0.569572486,1.091049045,-0.47922735
