batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
1,1,-0.887943493,-0.227449659,0.57618041,0.61113053,0.087062169,0.164807288,-0.185662032,0.192376578,-0.643159059,0.66012915
1,1,-0.390920746,-0.126728558,1.07589742,-1.400281066,1.366146192,0.217561735,0.679645137,-1.69066361,0.969435624,-0.588962791
1,1,1.291270662,-0.023568958,-0.89258953,-0.78115047,0.736169037,-0.607209399,0.280615338,0.588431527,1.408053159,0.434640572
2,0,-0.846683546,-0.76627936,0.078096345,0.248438667,-0.34985292,0.093171311,0.721991925,-0.935116745,-0.154273203,-2.222021057
2,0,-0.02186937,3.54267772,1.98134772,-0.61367321,1.912068649,-0.671053195,-0.448909669,-1.116010334,0.62994485,2.070475986
2,1,1.322348469,-0.169608663,-0.700310501,-0.293052113,-0.721002985,-0.531887945,-1.105491126,1.329148711,-0.49203275,0.469096315
2,1,0.810774212,-0.451729519,-0.157903836,-0.075479026,-0.176231812,-0.387305337,-0.861552545,-0.366402437,0.73505582,1.022170522
2,0,-0.789665558,0.197767587,0.294212964,0.203794814,0.659639885,-0.257382605,0.78994645,-0.652685248,0.169028643,1.099439752
2,0,-0.313830645,-0.268607419,0.382687499,-0.745640172,2.617198913,-0.00851249,0.067696209,-1.015299594,0.32713938,-0.520248973
2,0,-0.439179677,-0.530823837,0.557172843,-0.892684732,0.737641342,2.62374561,0.767361344,-0.755566174,-0.950163271,-0.932924322
2,0,-0.576329095,-0.93752685,0.388961792,0.229941221,-0.43496675,0.383885013,-0.498971856,-0.68137017,-0.339235776,-2.064314864
2,0,-0.902492267,-0.321830101,-0.939882233,-0.470962522,0.804019679,-0.102639831,-0.340726771,0.192226882,0.132552601,0.160656607
2,1,-0.61410785,-0.040560277,-0.450218258,-0.378675203,2.545861371,-0.200232517,0.667820757,0.006946279,0.239834845,-0.838033336
2,1,1.771537943,-0.59942697,-1.472250712,1.31712703,0.165833394,-0.504882663,-0.338519487,3.059519906,0.39762968,0.989792734
2,1,1.985872576,0.483246252,0.473479132,-1.465849583,0.946893755,-0.561972571,0.673586483,-0.830136252,0.504548371,0.244913204
1,0,-0.216244997,-0.25512029,-1.508700778,-0.758486406,-0.333055656,-0.448720569,-1.154224754,1.179656082,-0.46642883,1.397386261
1,0,-0.495653283,-0.337763243,-0.567611755,-0.591625105,-0.440530992,-0.35310216,0.929401229,0.261749929,0.125666465,0.785972557
2,0,-0.611371484,-0.916525894,1.350133429,0.004203011,-0.451548039,-0.181430424,0.343553236,-1.187168687,0.701484565,-0.255954218
2,0,-0.45274086,0.249727359,0.931498538,0.312854227,-0.606301659,0.394677814,-3.380707695,-1.180008155,-0.724190884,-0.469359629
1,0,1.410626787,-0.803886999,0.168312184,0.415584512,-0.264252802,-0.520307932,-0.45058551,-0.77250393,0.183809809,0.141069029
1,1,0.155794912,-1.104262819,0.745229747,0.266998086,-0.95940661,-0.372129827,-0.2336656,-0.513701292,0.593017329,-2.204195878
2,0,0.31355492,-0.198293104,-0.164049131,-0.999176314,-0.194016629,-0.263778531,-0.325580776,0.994533025,0.690491543,-0.252952524
2,0,-0.366874565,0.249727359,-1.429690448,0.919373863,-1.819354374,7.935791933,1.971198097,2.313827052,-2.526435042,0.006009789
2,0,-0.537950151,0.798552418,2.041447906,1.944815011,-2.026374985,1.175714494,-0.993715914,0.392164493,1.138981584,-0.298920853
2,0,-1.046884848,-1.00227981,-0.644126566,-0.283398025,0.446173078,-0.043931436,-1.088063276,-0.265877891,1.081084375,-1.821425147
2,0,-1.087786263,-0.596062211,0.108966923,-0.857498402,0.32696516,-0.369891831,0.217173882,-0.654726838,0.225160413,-2.01932726
1,0,-0.234447746,-0.731906565,-0.159180719,-0.010103299,0.507712287,-0.103868684,-0.777481516,-0.279186617,-0.753828451,1.075678307
1,0,-0.439348083,-0.323232618,0.129052317,-0.190851208,0.694563834,0.725959438,-0.494032202,-0.937114492,0.836720084,0.951731572
1,0,-0.420083759,-0.499073624,0.585315283,-0.673148165,0.267352293,-0.722246085,0.800366645,-0.880157332,0.504402915,1.120912022
2,0,-1.192593642,-0.408862714,-1.421443819,-0.101377113,-1.702967605,-0.144226491,-1.70936535,1.826254283,-0.520144883,0.812611974
1,0,-1.106662001,-0.32070994,0.234687174,-0.75801563,0.504399623,2.745610439,1.156216808,-0.040861123,0.49440114,0.156100689
1,0,-1.26853608,-0.69868733,0.590840501,-0.903255656,0.388975897,0.637341446,-0.001638781,-0.902170547,0.207984004,-1.214637043
1,0,-1.143172591,3.696810912,0.581081212,-1.381943898,-0.583805105,2.409333533,0.289823124,-0.236604482,-0.246310949,-1.488142686
1,0,-0.52520959,0.531955468,-0.514473118,3.059193696,0.617230306,0.544468796,-0.053485301,2.276001001,-3.945948725,0.610951122
2,0,-0.63412797,0.070519171,-0.931269431,2.183896253,-1.655112296,-0.170569472,-1.074440971,1.574947776,0.924413711,0.764556796
2,0,-1.003748114,-0.847922762,0.683319428,0.559835277,0.545876301,0.181208643,-1.082509061,-0.560110493,0.351429936,-1.949663662
2,0,-1.082393169,-0.321830101,1.125953014,0.400552699,0.971745184,0.213489226,0.372615822,-0.909744838,-1.267993125,-0.44271366
2,0,-0.560634245,0.798552418,-0.74633089,0.846571928,-0.688507131,0.338731601,0.002267094,1.999386393,-0.760986194,0.536420466
1,0,-0.11311252,-0.644722794,0.195556204,0.124464639,-0.175939132,-0.599774283,-1.386604556,0.274394736,-0.25186346,-0.898219107
1,0,1.600771431,0.576986364,-0.40628072,-0.826741587,-0.604900832,-0.64870207,-0.119303818,-0.607120607,0.014371092,-1.208449927
1,0,-0.691022046,-0.381614609,-1.030213254,0.649535272,-1.410537624,-0.10361245,0.954331702,1.449000365,-0.268205226,-0.352907645
1,0,-0.455346992,-0.828898522,-0.441232916,1.169208263,-1.653898853,-0.383181395,-1.500252288,0.215819398,-0.206499743,-1.949886835
1,0,0.275451416,-0.777314792,0.2704739,-0.092120876,0.227725088,-0.600471626,0.434954619,-0.796216937,-0.203618833,-0.020299671
1,0,-0.539963527,-0.65230204,-0.344073908,0.8478704,0.288445128,-0.383305367,0.742680976,0.691339868,1.147793985,0.238139302
1,0,-0.491149488,1.011579763,-0.05064106,-0.072136962,-0.143139508,-0.544312407,-1.308279026,-0.779549849,0.946344598,0.679099037
2,0,-1.186594056,-0.454936918,0.845602239,-0.77069341,-0.451622363,-0.011630582,-0.296632507,-0.880908542,1.15094928,0.331578714
2,0,-8.02E-05,1.713260849,-1.528374019,0.875640236,0.178087841,-0.265220541,0.709538213,1.555532176,-2.881851123,-0.30771684
2,0,-0.245065792,-0.725961639,-0.139978646,0.437916392,0.604521651,0.707483586,0.699001996,-0.223313342,-0.871567153,-0.513926105
2,1,-0.543617861,-0.628392738,2.247791773,-0.993814511,1.575992879,-0.266269055,-0.113968382,-1.435955723,0.593158775,0.122991331
1,0,-0.069386079,-0.724304896,0.139697105,-0.926143201,-0.743282218,-0.121379571,-2.06E-05,-0.202491041,-0.282034314,-2.157944622
2,0,0.135981048,-0.539348418,1.144263609,0.150992995,1.420816958,-0.431419369,-0.17432905,-1.122874298,0.32717393,-1.21678285
2,0,-0.484529221,-0.711528363,1.037498085,-0.10173318,0.123039534,-0.280908871,-0.271505421,-0.982208567,0.888360609,0.135749835
2,0,-0.679406781,1.713260849,1.852742016,-1.344394659,1.640380526,-0.226147634,0.867149284,-1.258066322,0.170799717,-0.546797524
2,0,-0.720442657,-0.116156012,-0.546628624,0.642696749,1.038197638,0.441979937,-0.627472569,0.305049125,0.387956611,-0.90358445
2,0,-0.774493599,-0.628392738,0.201531072,-0.375920511,1.418595571,-0.421474639,1.464387037,-0.040706949,1.576201505,1.096624018
2,0,-0.817371878,-0.335686035,0.05909676,-0.251282191,-0.672004,0.005045606,-1.332306514,-0.285908756,0.526661747,0.825603237
2,0,1.207911285,-1.094334018,0.993992482,0.389065896,-0.073101086,-0.524111985,-0.483205156,-1.427780633,0.68929277,1.85888199
2,0,-0.291272582,-0.451729519,0.885016643,-0.620799259,-0.713592644,0.069615904,1.172525576,-0.179094617,-0.970688561,-0.216785812
2,0,-1.15141563,0.070519171,-0.84445614,-0.64701478,-2.32124991,1.266921865,-2.176042059,0.469030964,-0.609860931,-0.691113077
2,0,-0.261510769,0.066919307,-0.724359837,-0.631420129,-0.593673771,-0.28067364,1.413072912,-0.257486342,0.124012995,-0.98545026
2,0,0.383008782,-0.151767119,-0.419755914,-0.696820432,0.184439048,-0.437415727,0.638418998,0.284667618,-0.262279436,-0.107774798
1,0,-0.8905603,-0.504818238,1.357821147,-0.199265902,1.025543058,0.126245718,0.752272998,-1.523877012,-0.173627604,-1.506629321
1,0,0.972164256,-0.577175702,-0.859574027,-0.441955204,-0.22408646,-0.581737582,1.039530091,1.66174437,-2.750092254,0.86687712
1,0,-0.709686738,-0.747042644,0.797651909,0.02445008,-0.135731377,5.44820968,-1.036921488,-0.436354828,-0.243394828,-1.057445741
