batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
1,0,0.721645658,0.320806701,-0.594400514,0.726176285,0.149695314,0.518635231,-0.396091723,-0.088664654,0.015860937,0.436735125
1,1,0.055078899,1.560748361,0.338936677,-0.062097069,0.41077245,0.333440077,-2.374577223,-0.105409467,-0.760123805,0.020013491
2,1,1.589371215,-1.449598897,-1.294078883,-0.422058002,1.658991938,-0.816806692,0.125422118,1.877104965,-0.405607621,-0.131152575
2,0,-0.760261341,0.288295234,0.807851079,-0.241579767,-0.334155188,-0.416891477,-0.690509347,-0.780936512,-0.312579582,-0.814843609
2,1,-0.369675383,0.699873235,-0.126526032,0.419418664,-0.742426856,-0.210273313,1.107320033,0.85356034,-0.312579582,-0.244200268
2,1,-0.39330982,-1.139498963,0.130030367,0.932266839,-1.120554621,-1.551266783,0.931225476,-0.496814736,0.123731269,0.26099111
1,0,-0.690342037,0.47126646,0.708701468,0.723758693,-0.346989251,-0.043586137,1.601547769,-0.067644996,1.044959679,-0.665431875
1,0,-1.12694163,-0.766196484,0.988027719,-1.421629479,-0.92473492,1.094436611,1.285167766,-0.501261731,2.304800168,-1.119228691
1,0,0.155606938,-1.797140597,-0.190100208,-0.836777973,-0.760372173,-0.592943435,0.9364311,-0.276205081,0.130934241,-1.225297279
1,0,-0.706716308,-0.308565691,0.642502128,0.240400952,-0.443002797,0.194675782,0.140657727,-0.416165791,0.471612756,-0.20031122
1,0,-0.786318099,-0.26803839,0.685097105,0.259503354,-0.778071563,1.468452812,0.631660293,-0.454922037,0.724188491,-0.183006041
1,1,0.118343063,0.951115894,0.036711715,0.23493178,0.12327838,-0.215987917,-1.290430416,-0.483237063,-0.712009019,0.259535099
1,1,0.910976914,-0.299534418,-0.587728935,0.19793159,-0.01430408,-1.151288718,0.278463994,-0.001826131,-0.73031036,1.080478452
1,1,0.805178597,1.655790038,-0.702613616,0.000551706,0.709278367,-0.319956984,-1.486826142,-0.501033312,-1.449812699,0.5340807
1,1,-0.432516839,0.56227855,0.509328377,-0.144666754,0.382658989,-0.728407515,-0.462577639,-0.062024832,-0.702793642,0.454091205
1,1,0.891987143,0.986535008,-0.736073471,-0.066748915,0.763079405,-0.113336898,-1.494187915,-0.500703145,-0.970083675,0.294487424
1,0,-0.348505308,0.073845325,-0.346893176,0.308068004,-1.1816059,-1.120477214,0.231889862,1.060001841,-1.350586883,0.801450698
1,0,-1.406174656,1.160204948,1.272701605,0.33938794,-0.116499535,0.073784241,0.899935093,-0.160335619,-0.111886098,1.881236757
1,0,-0.700107421,0.075351691,-0.044309876,-11.40027723,-2.017758952,-1.060837725,1.471152196,0.537789663,5.856527571,-1.3685179
1,0,-0.117330853,-2.774766425,-0.977095954,-1.006238567,0.141871046,-2.266705484,0.873537424,-1.690250541,2.912980164,0.763179395
1,0,-0.89770996,-1.219410502,0.773429593,-0.32807285,-1.01389398,0.57776535,0.467794216,-2.347107249,2.007273257,-1.313990874
1,1,-0.987011534,1.217278567,1.109911783,0.531780193,-0.026724429,1.284947791,-0.680699449,-0.531094589,0.168185092,0.797143792
1,1,-0.038711935,-0.406769973,0.002041584,0.008878246,-0.625063194,-0.376953572,0.383779856,-0.321997003,-0.184062526,0.170290883
1,1,1.113431409,-0.12020632,-0.84507699,-0.484285141,0.296850805,-0.643558619,-0.244058752,-0.62160496,-0.729974243,-1.003423617
1,0,-0.223015581,0.206202071,-0.13781357,0.277016706,-0.560536105,0.58604141,0.25873411,1.130269274,-0.312149204,-0.837784305
1,1,0.778197048,-0.815969147,-0.728235491,0.307231887,0.634623018,-1.226159537,0.532095821,0.978993154,-0.242519212,1.059725825
1,1,0.394640099,0.575990713,-0.287707975,-0.194950912,-1.088696784,-0.0319017,0.059527456,1.117847581,-0.512238648,-1.813209698
1,0,-0.637349413,-0.609416957,0.217635518,-0.091189737,-0.176539306,0.569408894,0.629147278,1.027405713,-0.574171102,0.134749513
