batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
1,1,0.530254414,0.839856103,-0.151528119,0.193993471,-0.146631374,-0.131944108,-0.360778282,-0.405641095,-0.371116647,-0.189571938
1,1,0.074239509,0.218660992,-0.059498293,-0.02486438,-0.874360981,-0.196689524,0.086801613,-0.429323184,-0.437990596,0.94149096
1,1,1.056013173,-0.879795693,-0.864963581,-0.149675455,0.523282855,-0.925941038,0.032558303,0.672396057,-0.267865277,1.968919122
1,0,-0.719560971,0.235896099,0.61930552,0.142609444,-0.602061778,0.669860766,1.128081855,0.508160589,0.653213993,0.351199596
1,0,-0.616197186,-0.038517179,0.660684099,-0.554159552,0.13426713,1.057323199,0.614612682,-0.849354605,0.490981507,1.716433262
1,0,0.157559396,-0.627220254,-0.036081262,0.389456356,-0.799380642,-0.595097049,1.052462143,-0.236855391,0.288869403,-1.170168081
1,1,0.073443356,-0.26077472,0.156986263,-0.109041463,-0.244552261,-0.660433967,0.363136507,-0.085442138,0.484500147,0.760423114
1,1,0.802741466,0.711738538,-0.440650657,-0.416139458,-0.464220162,-0.589990353,0.06606605,0.088011203,-0.009822402,-0.932812162
1,1,2.416805373,0.304638238,-2.165416646,0.257335496,1.951873535,-0.494797892,-0.167812359,2.469293003,-0.971217078,0.672829642
1,1,2.244451616,0.674756416,-1.531385705,0.245839099,4.976371029,0.284893225,0.79916214,2.680062292,-0.729241614,1.877783178
1,0,-0.165090773,-0.794523734,-0.182841194,0.706555525,-1.030284623,-0.424263216,1.107283686,-0.066602233,2.071769232,0.092759145
1,1,1.460083572,-0.38904875,-1.229857985,-0.248134797,-0.077474871,-1.61069777,0.249373887,2.082827378,-0.262290578,-0.068423381
