batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
2,0,-1.172804566,-0.422951423,-1.382521748,-0.110618906,-1.679181981,-0.171595464,-1.710611746,1.851758831,-0.555045745,0.812611974
1,0,-1.141682058,-0.310572295,0.230064606,-0.756484003,0.574011375,2.632521286,1.152071192,-0.05566305,0.551907142,0.156100689
1,0,-1.299785062,-0.680976911,0.593421205,-0.903760944,0.454330226,0.626366764,-0.006184518,-0.915809084,0.260152383,-1.214637043
1,0,-1.177342085,3.626457562,0.583464532,-1.389162535,-0.554331957,2.312532026,0.285378108,-0.251142014,-0.202608738,-1.488142686
1,0,-0.573775365,0.525009969,-0.5342476,3.114259668,0.691003835,0.537992421,-0.058048955,2.258069636,-3.971192366,0.610951122
2,0,-0.595774603,0.069701055,-0.902504038,2.145050371,-1.633281797,-0.199508313,-1.073337132,1.59898454,0.864029203,0.764556796
2,0,-0.977681511,-0.874165846,0.678629671,0.542027948,0.477785601,0.173233469,-1.081435087,-0.548543777,0.301153509,-1.949663662
2,0,-1.058940853,-0.333509511,1.112091651,0.384808762,0.886255648,0.207437763,0.379076083,-0.900220201,-1.289701099,-0.44271366
2,0,-0.51983783,0.81788824,-0.721397523,0.82505013,-0.706167202,0.340143761,0.007356473,2.025902139,-0.791638343,0.536420466
1,0,-0.171278651,-0.628093554,0.190142205,0.138372586,-0.131421783,-0.550828994,-1.391628896,0.259166986,-0.208264724,-0.898219107
1,0,1.502678063,0.569138672,-0.42386699,-0.826173805,-0.576205803,-0.597386953,-0.123890216,-0.621157674,0.062931332,-1.208449927
1,0,-0.735724996,-0.370256739,-1.060418683,0.670807057,-1.411558636,-0.078698868,0.95011632,1.432186049,-0.224911033,-0.352907645
1,0,-0.50554031,-0.808579323,-0.459526101,1.197768188,-1.663896282,-0.34472683,-1.505315902,0.200670767,-0.162055616,-1.949886835
1,0,0.208233164,-0.758029072,0.266575126,-0.081250427,0.287131656,-0.551492561,0.430559756,-0.809998588,-0.159121018,-0.020299671
1,0,-0.588185589,-0.63552095,-0.360402033,0.871923731,0.350091364,-0.344844798,0.738392454,0.675548941,1.217476511,0.238139302
1,0,-0.540508739,0.995024996,-0.061034447,-0.060986249,-0.09741234,-0.498053426,-1.313276299,-0.793354012,1.012272946,0.679099037
2,0,-1.166605544,-0.470301086,0.837549895,-0.771264687,-0.478960341,-0.031097709,-0.292649534,-0.871215483,1.086568429,0.331578714
2,0,0.059349892,1.757918285,-1.487236297,0.853741879,0.125023107,-0.299799965,0.717245625,1.579455541,-2.875088819,-0.30771684
2,0,-0.193779377,-0.748828507,-0.127609224,0.421688435,0.534035,0.730870945,0.706670407,-0.209779524,-0.900268529,-0.513926105
2,1,-0.502255794,-0.648558634,2.210685307,-0.991495414,1.465816855,-0.300910964,-0.10930926,-1.42950448,0.538617979,0.122991331
1,0,-0.128570877,-0.706081229,0.133153345,-0.926969474,-0.719691409,-0.095605435,-0.004565815,-0.217074651,-0.238997837,-2.157944622
2,0,0.199934068,-0.557049326,1.130022841,0.138481927,1.316980633,-0.475903153,-0.169893359,-1.114594468,0.277325407,-1.21678285
2,0,-0.441202953,-0.733995679,1.025469556,-0.110970361,0.072223794,-0.316423217,-0.267429438,-0.973107163,0.828612119,0.135749835
2,0,-0.642558554,1.757918285,1.823821194,-1.337534045,1.527573951,-0.258398569,0.875440109,-1.250576096,0.123709812,-0.546797524
2,0,-0.684958528,-0.122141804,-0.525833195,0.623816009,0.949993192,0.449545021,-0.624714233,0.321668903,0.337035813,-0.90358445
2,0,-0.74080621,-0.648558634,0.206824229,-0.38160579,1.314850001,-0.465365782,1.474888596,-0.026106598,1.504318724,1.096624018
2,0,-0.785109831,-0.347749015,0.067341233,-0.258582071,-0.690338305,-0.013427729,-1.33215719,-0.272740534,0.473294033,0.825603237
2,0,1.307496977,-1.127398435,0.982865412,0.373470763,-0.115903518,-0.57411964,-0.4799128,-1.421281643,0.633056061,1.85888199
2,0,-0.241522155,-0.467004897,0.876147611,-0.623312308,-0.730227849,0.054990535,1.181946781,-0.165302535,-0.997641323,-0.216785812
2,0,-1.130257731,0.069701055,-0.817489565,-0.649188226,-2.272204416,1.323648074,-2.179015905,0.486608497,-0.643179101,-0.691113077
2,0,-0.210771012,0.066001537,-0.699881722,-0.633795593,-0.615208251,-0.316173967,1.423384526,-0.244152116,0.07774846,-0.98545026
