V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-0.0050724417,1.1724639356,-1.3244709060,-0.0940033300,0.0958164989,-0.0960451237,3.4326734508,-0.1793016726,0.3290877286,0.9489749487
-0.0054222887,-0.0966985118,-0.6290548215,-2.1563417705,2.0200685464,5.2006968215,0.0274173023,-1.6581564544,2.6361336588,1.5904911631
-0.0045772317,-0.9955950505,-0.0550695422,0.1862569945,2.3748574071,2.5884095567,-1.3619953187,-1.8748322583,-0.9975744536,0.9193285453
-0.0038092134,0.6913312364,-0.8236764909,-1.0674270741,2.6584811941,1.7846288488,2.4657239841,0.1585318368,-0.2669805987,0.4636509308
0.5699595456,0.9762251448,-0.8940052904,-0.0745165842,-1.6457634024,0.0658611059,2.0475597005,-0.7456523666,0.6533216614,-0.7365894768
0.5734489186,-0.0913944420,0.0399890396,-0.7235479707,-0.2299591936,-0.2467453649,0.1419879112,-0.2571116137,1.0927263551,0.4588942202
0.3625574018,-0.9077359076,1.1747520953,0.2764726798,-1.6965089021,-0.7312214167,-0.4978000697,0.0881335826,-1.4380621521,-0.2462118506
-0.0122548370,-0.1868050742,-0.1591599972,-0.5756596884,-0.5143775613,-0.2737710744,0.2463605516,-0.4547953149,0.1428041516,0.2288620089
0.4574004535,-0.7951394383,0.8445748046,0.6428617232,0.3480886787,-0.2986234682,-0.3603540352,0.5871557179,-0.0575062191,0.6254632811
0.5813193723,-0.3706169581,0.4668038807,-1.2264616533,-0.2860983398,-0.5379892912,0.0097718845,0.0400116152,-0.4218314636,0.0947364051
-0.0066799896,0.1557300069,-0.5672435292,-0.1591298070,-0.5342963536,-0.5063056229,-1.4019037094,-0.1696834484,0.9028050712,0.6448615510
-0.0083725564,-1.9261166946,0.5035693666,-0.8343086734,0.1476507254,-0.2541672716,-0.9386789468,-0.2724115205,0.9272138194,0.4849782591
-0.0185525759,-0.0545978501,-0.2546248026,-0.0789504296,-4.7498699035,-1.2324112302,-1.6922307743,-0.8328991896,0.3493289182,-1.2934520401
-0.0082978456,-0.9874006392,0.1418414474,-0.6417765462,-0.2053362523,-0.7283406949,-1.1025624145,-0.4920159682,0.5386139985,0.6667733694
-0.0057916265,-0.4906396629,-0.1983191123,-0.6634895187,0.1280507342,0.1028723096,-1.2827348733,-1.3712885898,0.0481023328,1.7249840631
0.5851477402,0.8880492007,-0.8145112009,-0.1230452657,-0.6714110185,-0.7482804401,-0.0596955154,0.1694362523,0.3248187366,-0.5332816723
0.5589294592,0.1612640061,0.0033380929,-0.1602358833,-0.8140262138,-1.1135961155,-0.9768002994,-0.1350946042,0.4778913825,-1.2210610685
0.5944676776,-0.4990916088,-0.1765313775,-0.7647120735,-0.7115164193,-0.8211291144,-1.1870754038,-1.0422049671,0.6238839700,0.3101637457
0.5511306662,0.4113709174,-0.1421140304,0.2372133493,-0.9245873050,0.2648656898,1.6656459224,-0.4393315814,-0.7112387059,0.0036180939
0.5848556334,0.3941273276,-0.3693419964,0.5135533671,-1.7440428721,-1.0735443726,-0.8757601778,-0.0883224649,0.3959124970,-0.8533796604
0.5975378831,-0.4783010291,-0.0767857433,-0.5078521167,0.1731720319,-0.8752760878,0.3245037956,-0.8634590875,-0.0373156871,-0.6213406717
0.4896366241,-0.2567564602,0.5442270066,0.1909414650,-1.3897281405,-0.3162602712,0.1641825056,-0.6485765466,-0.0843157507,-0.5179534563
