Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.3.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.LHL_glcm_Correlation,wavelet.HLL_firstorder_Skewness,wavelet.HLL_firstorder_90Percentile,wavelet.HLH_glcm_InverseVariance,wavelet.LLH_glcm_Correlation
0,0.058444805,0.169992986,-0.113596083,-0.948014306,-0.687204763,-0.547677481,0.257586038,0.318829042,0.456345072,-0.194685643
0,0.330805105,-0.476129723,0.905422416,-0.489853243,-0.207303693,-0.346509365,1.511812493,0.065356624,-0.216099413,-0.431469161
1,-1.784809406,1.282074814,-1.437369509,-0.120657349,0.833387201,3.579932302,-0.06204312,-1.295377401,0.728681368,3.136425374
0,0.09281225,-0.360216943,-3.262310283,1.826817793,6.599366123,0.496993252,-0.768830117,-0.180311184,-5.947664878,-0.519795531
0,0.331046683,-0.442263862,1.006151515,0.128262614,0.367207136,0.071024851,0.196273724,0.322760922,-0.57399119,-0.627655204
0,0.089849291,-0.303296395,0.702410115,0.534366906,0.556829611,0.600952412,0.104981174,1.053259857,-0.867590201,-0.753259642
1,0.091427467,-0.206171234,0.537784807,1.042629699,-0.251979,-0.479996603,0.605500543,1.820148584,-0.636515004,0.514074312
0,0.327810669,-0.510563354,-0.081568801,0.525388628,-0.614481879,-0.877467923,1.619948995,-0.015533268,0.043617472,-0.098189644
0,0.092192377,-0.330463067,1.358684513,0.917392975,1.445923675,0.00448035,0.430292197,1.102385476,0.189266904,-0.508045093
0,0.321047944,-0.424521598,0.841935867,-0.693065668,-0.333969427,0.284299982,1.00330517,1.317605504,-0.252290236,-0.317537273
0,0.332172958,-0.571769,0.287322556,1.318661996,3.124793742,-0.12952952,1.887202425,0.674636684,-1.589306893,-1.264274702
0,0.333118391,-0.491004383,-0.222970877,0.875482303,-0.465478492,-1.080208236,-0.279916618,-0.072361886,0.637066355,-0.423411943
0,0.095205663,-0.330056278,0.869849857,1.499747365,2.165191394,-0.78375152,0.464247566,1.283541823,-1.759275821,-0.442550427
0,-0.063721753,0.087142401,-0.886287072,-0.852565958,-0.471611601,-0.885253578,1.93635898,-1.252415059,1.039526976,-0.205558897
1,0.331614427,-0.45604342,0.970332432,-0.4770656,0.088703363,0.107339665,2.152922276,2.374190702,-1.065730556,-0.228255823
0,0.094324595,-0.25110291,-0.305522032,0.744484913,-0.20547174,-0.120405461,-0.593260465,-0.698198029,-1.177585461,-0.23027516
1,0.024243635,-0.011668452,-0.728235491,0.38507213,-0.242519212,0.613199846,-0.329701381,-1.226159537,0.065740629,0.978993154
0,0.334052109,-0.479848628,0.583922991,1.180472186,0.668602887,-0.905214949,-0.173502569,-0.273503357,-0.976589158,-0.114346778
1,0.316986694,-0.151418433,0.786400259,-0.672200953,-0.152063214,-0.321922937,0.637390617,0.596384284,0.352807433,-0.369198276
0,0.092580577,-0.313008184,0.847557965,1.094024234,0.33926306,-0.037197162,0.578539632,0.32796004,0.020282595,-1.24399142
0,0.304271782,-0.274694823,0.178891999,-1.500764348,-0.619173243,-0.527441422,-0.547440792,-0.319078829,0.501674769,-0.82155319
0,0.093202546,-0.320987684,0.988027719,1.125973714,2.304800168,0.713868051,0.444663194,1.094436611,-2.085319773,-0.501261731
0,0.093663972,-0.299733924,0.989401985,1.253242733,0.570218318,0.311479408,-0.145720978,-0.355725973,-1.679852406,0.267887863
0,0.33217506,-0.551014406,0.790675199,1.981283624,0.818573838,-1.090311297,0.151666298,-0.353855897,1.354557412,-0.055422323
1,0.330387629,-0.523295633,-0.079070694,0.723059229,-0.336222534,-0.592732692,0.531656214,-0.868802715,1.489756598,0.017555838
0,0.33129122,-0.539598948,1.005487184,0.957145311,1.109875427,-0.130666624,1.664865515,1.227809053,-0.611924464,-0.128824864
0,0.331110562,-0.541648702,0.77548005,1.26715392,1.194457294,-0.119163207,0.522889988,-0.393154295,-0.631126181,-0.23767252
1,0.080973362,-0.19038866,0.002041584,-0.206931617,-0.184062526,-0.120600054,0.161189417,-0.376953572,0.353716881,-0.321997003
1,-1.661873309,2.447163675,-2.007061931,-0.718881089,-0.832618552,1.306043247,-0.319242166,-1.198440306,0.89575577,2.102428818
0,0.330271434,-0.456301444,0.828724141,0.05705287,-0.045138797,-0.728014876,1.846838058,0.568327376,0.087891744,-1.214412996
0,0.324994234,-0.348263617,0.865568465,-1.670242364,0.175108745,-0.635165387,1.792301587,2.249958643,-0.769961446,-0.275699885
1,0.092749135,-0.209020919,-0.399451872,0.205932451,-0.892296266,-0.647610515,0.339544756,-0.06308459,-0.030998216,0.969453278
1,0.315593144,-0.357693148,0.180238796,-0.180555498,0.429549074,-0.750548238,-0.399184911,-0.234556796,-0.238536913,-0.073639776
1,0.328325927,-0.428120034,0.34850733,0.317895166,-0.393260368,-0.999616761,0.515409026,-0.352216374,0.619689312,-0.419149972
0,0.323164728,-0.388109143,0.742342811,-1.337020528,-0.141923862,-0.462545422,-0.628760173,-0.130446953,-0.210551353,-0.572402149
0,0.328542795,-0.370451509,0.920862922,-0.569390825,-0.692244592,-0.762114383,0.332771412,-0.054411682,0.58536059,-0.24898253
1,-0.221111501,0.772537844,-2.001465396,-0.241264569,-0.958506165,0.860516947,-0.255122394,-1.350385773,1.020301794,2.857483807
1,0.020109549,-0.094800518,-0.37249943,-0.377802038,-0.004302858,-0.376881885,-0.074022503,-0.572822398,1.127371646,0.104853989
0,0.078599011,-0.176645968,0.202571487,-0.275605416,-0.439539552,-0.186015291,0.309235657,0.233434636,0.31798185,-0.155977918
0,0.086545266,-0.232906864,0.564457507,0.372167259,-0.136903957,-0.561614476,1.415452895,0.348872689,0.022531001,-0.636012137
0,0.092600272,-0.22285498,1.182282735,-0.253142632,0.948622466,0.051635526,0.016132333,3.342072562,-1.313707179,-0.32057991
0,0.091838633,-0.298515739,0.67877567,0.924834846,0.132853772,0.31338761,0.814827315,-0.24689968,-0.028368932,-0.459587498
0,0.317826721,-0.319091937,0.727069027,-1.204233725,0.192746475,-0.41553781,1.938701143,1.519977585,0.087329603,-0.508969641
0,0.092765558,-0.343392223,0.252995995,2.488783132,0.524597526,0.472279265,0.085466209,-1.691879705,-0.4558698,-1.631237281
0,0.081407734,-0.105413506,0.096388513,0.061196587,-0.713484807,-0.819811017,-0.937372806,-1.272888914,0.096161221,-0.228862705
0,0.329610878,-0.49903398,0.562763015,0.701234619,0.161336821,0.238363586,-1.469486535,-0.122951688,0.024302912,-0.340329755
0,0.07218278,-0.232090956,-0.383995176,0.315499528,-0.435012229,-1.130584097,-0.238415216,-0.675143977,0.193256724,-0.454709321
1,0.038657196,0.178944039,-0.094255618,-1.714646133,-0.58988867,-0.097862295,0.434589066,0.207696371,0.530963987,-0.672721498
1,0.278650337,-0.331630104,-0.491669649,-0.058968508,0.064311347,0.802825097,0.305854014,0.124436477,0.520719066,0.566073084
0,0.313594025,-0.345855398,-0.468463768,-0.031855217,-0.422976689,-0.964266068,-1.108376407,-0.186398334,-0.47913214,-0.114686239
0,0.317569981,-0.222272152,0.794944598,-1.42098996,-0.471916909,-0.660495291,-0.261276045,-0.012882495,-0.599889937,-0.716889929
0,0.052425469,-0.063289232,-0.007977014,-0.541107655,-0.551667637,-0.113998646,0.139224163,-0.517411795,0.071801702,0.198258987
0,0.181185592,0.079152888,-0.889372414,-1.745462918,-0.640720829,0.385659767,1.282993299,0.561939533,1.250733162,-0.531254819
1,0.088745598,-0.267126999,1.118055047,0.029934704,0.499317964,-0.109343704,0.919886528,1.430725036,-0.073785901,-0.576157882
0,0.092016742,-0.315810066,0.730865563,-0.116609831,1.6179234,0.090331119,1.02920897,2.29078311,-1.321757689,0.041555367
0,0.328022902,-0.396177813,0.036271552,-1.497443293,1.522108608,-0.719234936,-0.052460028,1.926678678,-1.756420379,0.981972961
0,0.086871485,-0.192991045,0.316603208,0.09505955,-0.787564846,0.06772537,-0.151871986,-0.506581151,0.000866299,-0.342922871
1,0.331075266,-0.333486699,0.657759576,0.295437091,-1.027783228,-0.056556905,-0.726779954,-0.29478504,0.125113237,-0.280749157
0,0.331050476,-0.372699262,0.846767933,0.466155766,0.560017132,0.026140217,-0.481269399,0.697956955,-1.295058847,0.011963809
1,0.091550049,-0.223382612,-0.979821516,-0.622217755,-0.67613246,-1.018422811,-0.994082197,-0.324449368,-1.189158015,0.972993924
0,0.091829195,-0.269868979,0.926478752,0.192966713,-0.50757289,-0.321237401,1.411752085,-0.194283303,1.128786769,-0.536873196
0,0.32364352,-0.453005471,0.820176442,0.197191593,0.423739379,-0.625347893,2.700455356,1.49959857,0.255866778,-0.035939881
1,0.005947229,0.274824261,-1.57653872,-0.124072764,-1.596897449,1.495902522,-0.379919849,-0.858903116,1.14570438,0.01728717
1,0.114499681,-0.24889519,-1.090152663,-0.348160872,-0.318385397,0.469089704,-0.492028619,-1.011132425,0.311016756,0.710832624
0,0.332100063,-0.5316732,0.805905834,1.574735562,1.816626111,-0.870370043,-0.18877174,0.137410451,-0.355679117,-0.733240193
0,0.293207435,-0.262081112,-0.258767265,-0.655800022,-0.703408553,-0.220443997,-0.366444362,-0.332020283,0.997610755,-0.291028727
0,0.313676073,-0.035487384,0.562290281,-1.252327063,0.055635759,-0.352926805,-0.282768835,0.677782555,-0.374821228,-0.433142543
0,0.179730178,0.024166789,-1.533533519,-0.012136293,-1.114385045,0.413892071,-0.014653178,-1.68265784,0.242190251,0.863996953
0,-0.039614922,-0.001700168,-0.976906027,-0.83747857,-1.061363045,-0.417017869,1.213391227,-0.149056407,0.707502011,-0.289224278
1,0.085617776,-0.246098384,0.48255808,0.225421143,-0.616563017,-0.643004355,-0.282509615,-0.893858421,-0.090252645,-0.03395038
1,-0.05891284,1.033175094,-0.772140817,-1.974528466,-0.761684185,-0.341846972,0.241597736,0.04155967,0.749955499,-0.473975531
0,0.093694346,-0.281516322,0.782709274,1.400841354,-0.258599841,0.075341269,-0.190966184,-0.044939976,0.150750345,-1.01597568
1,-0.022119929,0.314992758,-0.84507699,-1.7088884,-0.729974243,0.179471832,-0.464014261,-0.643558619,0.743780924,-0.62160496
1,0.336828367,-0.389878419,-0.216331954,1.222920225,-1.157435352,-0.312330854,-0.046074829,-0.033762118,2.056052701,-0.835330934
0,0.319314929,-0.249803106,0.298228657,-1.212116668,0.046009005,-0.548900643,1.726032759,0.663027185,0.520230428,-0.903411158
0,0.090106971,0.069160441,1.047625764,-0.823157663,-0.034960706,-0.195008501,0.272654169,1.240933472,0.06167147,0.030439452
0,0.33073036,-0.484159242,0.881319698,0.49876602,-0.060760842,-0.049230202,0.388818513,0.370217114,-0.589416128,-0.451285772
0,0.090271752,-0.222043933,1.219894979,-0.255636082,0.668908195,-0.017894608,-0.658122652,1.042695427,-0.323802088,-0.479414745
0,0.096437484,-0.301648557,0.538566835,1.685341494,1.740658245,0.379903401,-1.079688762,0.481513383,-0.937875874,-0.314741743
0,0.313509464,-0.387263137,0.546714296,-1.082573014,-0.341485126,-0.798243179,-1.594417755,-0.489344197,0.515737413,-0.846441014
1,0.333262834,-0.517121284,0.130030367,1.006074987,0.123731269,-1.281647643,-0.955994524,-1.551266783,0.118044175,-0.496814736
0,0.087083274,-0.29467942,0.769817628,-0.039687432,0.757953873,-0.176199657,0.757841932,0.176047279,-0.378259296,-0.534710102
0,0.331005154,-0.379354679,0.594550647,0.953731678,-0.160183924,-0.662647779,1.235556916,1.23542055,-0.540471499,-0.09421511
1,-0.799329126,2.868079038,-2.306434025,-0.341143222,-0.881923866,1.515678506,-0.320796278,-1.560760106,0.757919082,2.449278581
0,0.092572708,-0.292435794,1.494451668,0.749991702,0.888686543,0.562777357,-0.208877301,1.510950482,-1.408233444,-0.616816477
